pair,no_of_rows,min_date,max_date,total_days,no_of_trades,volume_traded,total_turnover,avg_price_of_unit_volume,avg_hourly_trades
ETH_MOD,500,2017-11-01 18:10:02,2017-11-02 11:15:01,0,500,192257.0,873.008443525,0.00454084087198,29.2687685979
ETH_OMG,500,2017-11-01 15:39:53,2017-11-02 12:20:17,0,500,44395.0815031,952.445684925,0.0214538559831,24.1857465334
ETH_IBTC,500,2017-11-01 14:12:59,2017-11-02 15:48:44,1,500,2011443.98565,95.7609572651,4.76080656227e-05,19.5344294319
ETH_EOS,500,2017-11-01 15:02:21,2017-11-02 17:02:19,1,500,209817.948125,752.666370796,0.0035872353987,19.2311801534
ETH_VERI,500,2017-11-01 06:41:27,2017-11-02 15:03:33,1,500,6414.78558573,1060.79988717,0.165367941453,15.4471963339
ETH_PPT,500,2017-11-01 08:20:44,2017-11-02 17:04:12,1,500,106555.383529,1278.57103548,0.0119991218945,15.2790981937
ETH_ITS,500,2017-11-01 00:15:25,2017-11-02 15:52:41,1,500,353100.447865,125.469727362,0.000355337208208,12.6195350402
ETH_SCL,500,2017-10-31 21:40:19,2017-11-02 15:47:30,1,500,476472.114707,827.464405865,0.00172828353291,11.8709234919
ETH_LINK,500,2017-10-31 21:29:55,2017-11-02 15:41:24,1,500,929706.370641,522.861503443,0.000597739599141,11.8507594362
ETH_LTG,500,2017-10-31 17:20:08,2017-11-02 13:26:03,1,500,7356263.0,132.563000187,2.14314441072e-05,11.3382255677
ETH_EBTC,500,2017-10-31 20:19:33,2017-11-02 16:44:30,1,500,3149271.90153,63.1179247076,2.00220873611e-05,11.2572468527
ETH_POS,500,2017-10-31 13:34:02,2017-11-02 11:12:23,1,500,18070.0723266,55.776920757,0.00304277781622,10.9555024011
ETH_PLR,500,2017-10-31 16:48:42,2017-11-02 15:22:23,1,500,1430707.26779,523.304538576,0.000372426644886,10.7385112844
ETH_COB,500,2017-10-31 14:02:34,2017-11-02 12:44:23,1,500,2557185.26829,443.364686799,0.000178548037438,10.707338691
ETH_REQ,500,2017-10-31 09:59:08,2017-11-02 11:16:04,2,500,5998714.40208,746.949023536,0.000126536962968,10.1456463904
ETH_ATM,500,2017-10-31 12:16:09,2017-11-02 17:32:53,2,500,12155770.0237,2151.80500486,0.000178478524576,9.38458009218
ETH_PPP,500,2017-10-30 21:37:12,2017-11-02 11:02:41,2,500,646591.979258,395.585320409,0.000614279251333,8.14004495114
ETH_BLUE,500,2017-10-31 01:49:24,2017-11-02 16:41:48,2,500,2452906.87489,88.5505550941,3.81835796043e-05,7.95249708408
ETH_BTCR,500,2017-10-30 23:15:47,2017-11-02 15:13:24,2,500,1570377.24745,104.621273485,6.66482224884e-05,7.81735191547
ETH_KICK,500,2017-10-30 18:11:24,2017-11-02 12:59:07,2,500,2599541.86135,347.411906325,0.000137620009192,7.48555910889
