,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,130,1.2116,0x79f9d8e0a4742982da7a6456b8729b0e047a04a7,2017-11-02T10:41:02.000Z,0.00932,0xb19b3e0c063cc59dbc132f664ecb35077748dceb,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x56511841610bc81f820215af998c09229caa4d6fe513ca2445e6ae85af4e9bba
1,25,0.3225,0x9589829a5c96947c5275ab2ab4257d5506314429,2017-11-02T04:36:00.000Z,0.0129,0xbc8fdeb530a215ca8c1b69c29ab6192b6351ee1b,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x77d9967737112bc0543c74b0f60ebb0ee621f9531cf4a6febc0c553417ddc5a1
2,280,2.66,0xa5c10d510ebc59c7949f343744ecf913adbec94c,2017-11-02T02:18:57.000Z,0.0095,0xbc8fdeb530a215ca8c1b69c29ab6192b6351ee1b,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0xeb3de97b344c6df684ac026ee520c6717c01f95652a752093dcfc573ed309272
3,1000,9.5,0xa5c10d510ebc59c7949f343744ecf913adbec94c,2017-11-02T02:14:28.000Z,0.0095,0xbc8fdeb530a215ca8c1b69c29ab6192b6351ee1b,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x1464ada22a8ba22262dd6f9588356c5b1ba2505f3fd9f8ebfa8e12c36a0a4f0c
4,50,0.4755,0x6c1b843890109d594d77d02cefaee39db5da11ef,2017-11-02T02:06:00.000Z,0.00951,0xbc8fdeb530a215ca8c1b69c29ab6192b6351ee1b,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0xe63671a4a2b0db5a2963aad05805554f6948fccf8122441188251eb1e54726ab
5,6,0.0594,0x8286c8bbedecde7b850e7ca24bfcb45632ac35f7,2017-11-02T02:05:55.000Z,0.0099,0xbc8fdeb530a215ca8c1b69c29ab6192b6351ee1b,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x8619c1ba47237b7dc21fac0937a18ed4e02f52e5c35b810cd7635d16991782c2
6,200,2,0x79f7be822d26c655749814f9fdd18f7576a34ae6,2017-11-02T02:03:48.000Z,0.01,0xbc8fdeb530a215ca8c1b69c29ab6192b6351ee1b,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x59176df617f1ba1c9fea09db76dc4a92e6194e5d923fb04e5348109e562b1936
7,2,0.02576,0xd48e0e23c5f11810ac2a70b465b1a53906a05335,2017-11-01T23:23:44.000Z,0.01288,0x95c160e0ad6a8586b76b77b6798525662a6ca87f,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x21d557183f1aa190bd2c53b3e3fb7bc2247918040ad63cf6ea111f1a93f9eb0b
8,103,0.9785,0x48cf4391db5b383dde3b0912bcde872ce37ceda0,2017-11-01T14:42:30.000Z,0.0095,0xbc8fdeb530a215ca8c1b69c29ab6192b6351ee1b,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x6f45aea98660ec36e903fd26b06d5e3b9342cd76a24b9164643271e60c7872f7
9,38,0.36138,0xd93645d9bfa3ebc228309182f6b2080d0a8940d1,2017-11-01T13:11:04.000Z,0.00951,0x5104efc872d45dba3a97bf02aebe240dfc283321,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x020607884be02b45324f6fd35ac9097864d96b3b906f701ae7e4a5773a5c5146
10,5,0.0645,0x36183b5a55b176d9ea3f25728979bb3607c238dd,2017-11-01T01:49:59.000Z,0.0129,0x97d163c6506ef845bee877d84028cb99fe5167f4,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x8faac631df757fc0830cd36a769d08fcc461cf0368156dc43b42cecbe306ac2f
11,52,0.4836,0xd93645d9bfa3ebc228309182f6b2080d0a8940d1,2017-10-31T22:49:25.000Z,0.0093,0x5d79669ddf5d8193d9a7d2e5c7698174b8281e61,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x09cbf504625589310324e7a13899230a4658515b3e9d9c72c2c37f4423083e92
12,50,0.4655,0x6c1b843890109d594d77d02cefaee39db5da11ef,2017-10-31T22:48:47.000Z,0.00931,0x5d79669ddf5d8193d9a7d2e5c7698174b8281e61,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0xc46dd3624e617b711d80a9dda36270214cd6da3fc03f8ab32fb64397d70c9e19
13,1,0.014,0xd48e0e23c5f11810ac2a70b465b1a53906a05335,2017-10-31T20:09:02.000Z,0.014,0xbc8fdeb530a215ca8c1b69c29ab6192b6351ee1b,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x46233d987a37aa4ed9ee11d7adfcac2e6771931de589fdc5a9e39333528d26ff
14,29,0.2697,0x95c160e0ad6a8586b76b77b6798525662a6ca87f,2017-10-31T14:29:11.000Z,0.0093,0x8b81d80e36e1c2069efb9abb145d434aa68f058b,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x006fd71757297bb37bfb3040d25b3122587dde2b096fc8aa9749acfc3790ab2b
15,50,0.49025,0xf2a3d1bf4d42fd01eeb9d900eead978c08b3c07c,2017-10-31T14:28:42.000Z,0.009805,0x8b81d80e36e1c2069efb9abb145d434aa68f058b,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0xa4d9483bab48f83bb7824a45e542cdbd157227af5243c178773e9c065d9e45a3
16,40,0.392,0xd93645d9bfa3ebc228309182f6b2080d0a8940d1,2017-10-31T14:28:42.000Z,0.0098,0x8b81d80e36e1c2069efb9abb145d434aa68f058b,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x697f9999a5144dbe10b58708b4aecb1a02332a7b16ef7ee1265de0d45e622a82
17,50,0.4925,0xf2a3d1bf4d42fd01eeb9d900eead978c08b3c07c,2017-10-31T14:26:26.000Z,0.00985,0x8b81d80e36e1c2069efb9abb145d434aa68f058b,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0xf3bbb4d8ba645b57cfd50a4d6b903c3883a562b9b385e164915cdbc1e899e980
18,200,1.962,0xf2a3d1bf4d42fd01eeb9d900eead978c08b3c07c,2017-10-31T14:23:49.000Z,0.00981,0x8b81d80e36e1c2069efb9abb145d434aa68f058b,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0xfa6e23c8a564841abe36fa09118a484c4a581c06350cd8cca116d40d9d5a97fe
19,3,0.04494,0x179c6ae2129da08767391429911ef1ea32c7b6d4,2017-10-30T16:14:54.000Z,0.01498,0xc2f897135ac2eb4f165aa784561f7174dce55a59,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x01a2abce4c28597cc89da22e2ef4eda416f7cf6f5f78fefa3ff3341f98f2636f
20,13,0.1209,0x95c160e0ad6a8586b76b77b6798525662a6ca87f,2017-10-30T15:04:55.000Z,0.0093,0x673c924080c5d7aa53f0d37eea458835fea0b530,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x79595d48f44d08b1678750b5e0d69b0cc693f8e3e287bb94831108af460913fa
21,54,0.50274,0xf05b0c73dc3c7e4ec5033a2e5673d5ef69c1e738,2017-10-30T15:03:39.000Z,0.00931,0x673c924080c5d7aa53f0d37eea458835fea0b530,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0xfae76304a86ad5f2d1038d00e8da0d6943079efa3a7b6bb0d792ebfa934a08bc
22,40,0.4572,0x8827c05bf3292d0f2c33b20a6f07fb8c287dbc74,2017-10-30T15:03:31.000Z,0.01143,0x673c924080c5d7aa53f0d37eea458835fea0b530,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x930c5fb6f4217181276cace72787d3ac5bd71ea971eab7cbbb96c54aa3816de9
23,14,0.1743,0x810486c904859266f6978d06f165da1d44f1c2d3,2017-10-30T15:03:18.000Z,0.01245,0x673c924080c5d7aa53f0d37eea458835fea0b530,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0xdc9d3d0a50cccd332e895f5f3b8e29c2d7aca2f9dd2e18802a2d8177257704fe
24,1,0.012,0x3e351848599f09b91a669836abe30a494901c93b,2017-10-30T13:42:43.000Z,0.012,0x4b3dc422edb854c9f33962e4219fb5c9dc054747,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x71ac2bf39bb55246e04de57171feeb76ca34a3973bbd45071c1f228d160ad30a
25,14,0.21,0x8f9faac4d640044c792dc89c84a8940f72875fb1,2017-10-30T00:55:19.000Z,0.015,0xbc8fdeb530a215ca8c1b69c29ab6192b6351ee1b,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x68fca73197b76991a9fe16014bde5062658a09ab22e7bddd76cb911d4e9b303c
26,1,0.01489,0x8f9faac4d640044c792dc89c84a8940f72875fb1,2017-10-30T00:52:54.000Z,0.01489,0xe03d6982dc67599496ddc2bc6fdefbd6bc85a2d1,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x2c581f7c91600d174a0a2dcad9c3cc7e8111e9b5d485819b601d7c2749495736
27,97,1.455,0xeaa80d671f673d33f2e51c522f70b63ad1fe6d43,2017-10-29T22:52:39.000Z,0.015,0xbc8fdeb530a215ca8c1b69c29ab6192b6351ee1b,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0xa57197fef3ce4b3a0246c272cc03c463c2dd08f24ed23dbff52ec990d2e262df
28,78,1.1614122,0xeaa80d671f673d33f2e51c522f70b63ad1fe6d43,2017-10-29T22:28:10.000Z,0.0148899,0x9fd097d48245eba3bc515d6489239e8493dcb35f,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0xad9e8e991c82ab86632b0a33b6280e89b68791cd97500c43d7fea2ef0da667c5
29,73,1.086962627,0xeaa80d671f673d33f2e51c522f70b63ad1fe6d43,2017-10-29T22:27:19.000Z,0.014889899,0x7e77caf74920352ccd7db96de8e8fa5b7e77d4c4,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x77752190d1890d5058b0d2451a2960b69d354baae4be5c01314a2d0f14ccb830
30,8,0.1190392,0xeaa80d671f673d33f2e51c522f70b63ad1fe6d43,2017-10-29T22:25:48.000Z,0.0148799,0x810486c904859266f6978d06f165da1d44f1c2d3,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0xf05b36f46f09d1bd1ab148d759b9c8b70b497c34788886b9108bd9bd6bd5e877
31,2,0.0297798,0xd48e0e23c5f11810ac2a70b465b1a53906a05335,2017-10-29T14:55:27.000Z,0.0148899,0x9fd097d48245eba3bc515d6489239e8493dcb35f,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0xcdffdc1bfff07f2dd5f2d1c0d6d929d58785fdb7102335e69979b529273b5bea
32,15,0.2233485,0x8827c05bf3292d0f2c33b20a6f07fb8c287dbc74,2017-10-29T09:13:22.000Z,0.0148899,0x9fd097d48245eba3bc515d6489239e8493dcb35f,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0xe9668d560fc391f3b57745150185a36a06e5650fb6888eaf821caf4e715ef02e
33,4,0.0595596,0x8286c8bbedecde7b850e7ca24bfcb45632ac35f7,2017-10-29T01:45:18.000Z,0.0148899,0x9fd097d48245eba3bc515d6489239e8493dcb35f,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x33aa0f24141fd6dc8c5926491549898b28a2ec7efdc28b148d366c6ce32db1f2
34,5,0.055,0x0016e7237bc15c246924b65d924afc8ea54e7d4a,2017-10-29T01:40:33.000Z,0.011,0x9c1b289210263135a61022624bd0d525d5befa12,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0xb0f56ee212bd3538aa1c00a44b04016f88156081b3395918852360ff02924d77
35,4,0.044,0x0016e7237bc15c246924b65d924afc8ea54e7d4a,2017-10-29T01:36:25.000Z,0.011,0x9c1b289210263135a61022624bd0d525d5befa12,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x1d4cb3b60f865962883afbc960e781776b70f1ee324aa4326cc483a3c232dc90
36,3,0.0444,0x8286c8bbedecde7b850e7ca24bfcb45632ac35f7,2017-10-29T01:27:51.000Z,0.0148,0x6c1b843890109d594d77d02cefaee39db5da11ef,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x687f6251727daf78527978cb0bb45d649a608331a6279ada2b915934b7eed57c
37,17,0.247,0x0016e7237bc15c246924b65d924afc8ea54e7d4a,2017-10-29T00:55:59.000Z,0.014529411764705883,0x3279fd991aa42a1759bef80b1c3202ee985668d3,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x63e279019f05b439c607061c013efd81eb26abe9aed0f325348389b03b91aa1f
38,5,0.07,0x8286c8bbedecde7b850e7ca24bfcb45632ac35f7,2017-10-29T00:09:47.000Z,0.014,0x3279fd991aa42a1759bef80b1c3202ee985668d3,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x921ad362398eb3ecda9db8bb2d2ed510b8633234a7df7e5429f1893f8ca829a9
39,3,0.042,0x8286c8bbedecde7b850e7ca24bfcb45632ac35f7,2017-10-28T23:33:48.000Z,0.014,0x3279fd991aa42a1759bef80b1c3202ee985668d3,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x2bafb6dce4aad366685a9c3af4954ad8befa3bd9e36e5934f760a2121ec599db
40,5,0.07,0x8286c8bbedecde7b850e7ca24bfcb45632ac35f7,2017-10-28T23:17:16.000Z,0.014,0x3279fd991aa42a1759bef80b1c3202ee985668d3,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x424f2ac00761c4dff2b195efc78da043e4a8d6f71d63aa3c8ed7324acd982352
41,3,0.042,0x8286c8bbedecde7b850e7ca24bfcb45632ac35f7,2017-10-28T22:45:55.000Z,0.014,0x3279fd991aa42a1759bef80b1c3202ee985668d3,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0xc95da532e01da7ed10b90e9d019c7587614532b86cc75861539a846cb2d02b63
42,8,0.08,0xb253db52d71b3d38fa9da7686b759bc618160784,2017-10-28T13:52:33.000Z,0.01,0x8286c8bbedecde7b850e7ca24bfcb45632ac35f7,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0xb3d77994e4f1f0bd42e0a9cd6e5530c627f6a0fc9c91dff9d9112149dd6ff4eb
43,24,0.32376,0x0d43fa2f361c1ed5b43611213b884576751a9235,2017-10-28T06:58:22.000Z,0.01349,0x6c1b843890109d594d77d02cefaee39db5da11ef,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0xe54b49f64aa4f2e8586fea57132f7ff364e1194456dc703779723822fa1920f6
44,50,0.67445,0x0d43fa2f361c1ed5b43611213b884576751a9235,2017-10-28T06:57:36.000Z,0.013489,0x9fd097d48245eba3bc515d6489239e8493dcb35f,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x227ac48266987c5ffacc7a1b53c3607de3e91d372f55565875bd3ff4111a50ed
45,54,0.49194,0x5fe218e03a4a0ccd7f3eeac9a51fd23c0fc369a1,2017-10-28T01:05:23.000Z,0.00911,0xcbdc70a281851b177194bfed2834f6baa544db8b,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x7c294fd5981f4294525d5722c6a10d306d03d5a951c75a49fac864439f72b9ff
46,84,0.79884,0x0016e7237bc15c246924b65d924afc8ea54e7d4a,2017-10-28T01:00:04.000Z,0.00951,0xcbdc70a281851b177194bfed2834f6baa544db8b,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x07ad36a0abd561540b4ea7a184932a07d201003ce87180f8bf2675a71ef914e4
47,100,0.952,0x5fe218e03a4a0ccd7f3eeac9a51fd23c0fc369a1,2017-10-28T00:57:46.000Z,0.00952,0xcbdc70a281851b177194bfed2834f6baa544db8b,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x722c6391e9345e2f7719c39392be41ede5768406e099b705a5b1ad141ea31017
48,3,0.04047,0x8286c8bbedecde7b850e7ca24bfcb45632ac35f7,2017-10-28T00:53:29.000Z,0.01349,0x6c1b843890109d594d77d02cefaee39db5da11ef,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x400900f7b57d8bdd489e0bcb52e90265e8dff2643059ed36c825fde5c106b1be
49,100,0.96,0xf2a3d1bf4d42fd01eeb9d900eead978c08b3c07c,2017-10-28T00:40:23.000Z,0.0096,0xcbdc70a281851b177194bfed2834f6baa544db8b,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x491eec2a945fa3610a469e456f975a4e7096356d84ee70e35699f6a6bf4bfbdc
50,32,0.304672,0xf05b0c73dc3c7e4ec5033a2e5673d5ef69c1e738,2017-10-28T00:40:23.000Z,0.009521,0xcbdc70a281851b177194bfed2834f6baa544db8b,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x2c385bf73f2ac38376331f92e63cb7010d13b50baee8e3fb8c1d4589da8633e9
51,100,1.0000001,0x0016e7237bc15c246924b65d924afc8ea54e7d4a,2017-10-28T00:38:56.000Z,0.010000001,0xcbdc70a281851b177194bfed2834f6baa544db8b,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x51f171fece4e48aa8bac60ffe7a2cd08ce8102c6747c5ae53f9fca13b20462b2
52,100,1,0xf2a3d1bf4d42fd01eeb9d900eead978c08b3c07c,2017-10-28T00:38:56.000Z,0.01,0xcbdc70a281851b177194bfed2834f6baa544db8b,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x4336f1fbcc77b2a9144334a7acb0eddd0523a902ea8acc6b17552f5115b4abc0
53,100,1.00002,0xf843c6ffd80855c09d640b0b54305258748f88c9,2017-10-28T00:38:56.000Z,0.0100002,0xcbdc70a281851b177194bfed2834f6baa544db8b,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x1a7e08ce4dfd0a9a16e461dbefa9660d14c178c2b64e5fa20b199485b50d8f09
54,30,0.33,0x0016e7237bc15c246924b65d924afc8ea54e7d4a,2017-10-28T00:38:42.000Z,0.011,0xcbdc70a281851b177194bfed2834f6baa544db8b,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0xebf9cb92a8e696d2835e45bcd3e22d08cecfc2e996e558b40bd049b61988a591
55,1,0.012,0xd48e0e23c5f11810ac2a70b465b1a53906a05335,2017-10-28T00:22:22.000Z,0.012,0xcbdc70a281851b177194bfed2834f6baa544db8b,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x3fe155eb992af501444426c8148c8db67e8034ebf3eb51c52ebd8552be02c48b
56,70,0.77,0x0016e7237bc15c246924b65d924afc8ea54e7d4a,2017-10-27T20:56:50.000Z,0.011,0x8286c8bbedecde7b850e7ca24bfcb45632ac35f7,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x294dc1efd2db0171c08c382b88bfe39633f8948732420259ee5ff56b91278dca
57,38,0.456,0x8286c8bbedecde7b850e7ca24bfcb45632ac35f7,2017-10-27T12:28:22.000Z,0.012,0xcbdc70a281851b177194bfed2834f6baa544db8b,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x670a2740edb01cb242cdde329cf8b3597fdfce29fa7e3a91668fc78056ef0fe2
58,41,0.38991,0x0016e7237bc15c246924b65d924afc8ea54e7d4a,2017-10-27T03:30:11.000Z,0.00951,0xb71ad082080f59cf9d2cb9352ea4c273c9fb4aea,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0xedd53875eb9d795461845fd4c2d046771c16bd0ab477eb091eb5a693648c0331
59,22,0.2112,0x0016e7237bc15c246924b65d924afc8ea54e7d4a,2017-10-27T03:08:01.000Z,0.0096,0xb71ad082080f59cf9d2cb9352ea4c273c9fb4aea,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x9019cfb6661c73e8a83e217cbc664f402af075bcbffa5cb3af27e2dd00179755
60,49,0.588,0x0016e7237bc15c246924b65d924afc8ea54e7d4a,2017-10-27T01:04:53.000Z,0.012,0xb71ad082080f59cf9d2cb9352ea4c273c9fb4aea,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x5a1e2a2bc4f7e17d54dae55a81cf1dadef023710b898018a4ddaec242e8d21c5
61,1,0.012,0xd48e0e23c5f11810ac2a70b465b1a53906a05335,2017-10-26T23:31:09.000Z,0.012,0xb71ad082080f59cf9d2cb9352ea4c273c9fb4aea,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0xbccee6e0c2db74d8af83a0706fc25ca2b5498ea0b54e82de7e9fb276000785a4
62,5,0.05,0x0016e7237bc15c246924b65d924afc8ea54e7d4a,2017-10-26T23:18:31.000Z,0.01,0xb71ad082080f59cf9d2cb9352ea4c273c9fb4aea,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x45b0213f736beef9445b490c758b76109da018108b744bfe95468005f99a953b
63,1,0.0135,0xd48e0e23c5f11810ac2a70b465b1a53906a05335,2017-10-26T23:16:26.000Z,0.0135,0xcbdc70a281851b177194bfed2834f6baa544db8b,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x5cc4e9efe1e1e91a7e5ee52f606ac0424969593b1625bb7aa79ca854eac9bfb6
64,1,0.0135,0xd48e0e23c5f11810ac2a70b465b1a53906a05335,2017-10-26T23:05:22.000Z,0.0135,0xcbdc70a281851b177194bfed2834f6baa544db8b,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x7ab167bc62b5b06b842e563d7c1bd92bc4aa6b67c6262dfe35448d690f7f9294
65,5,0.05,0x0016e7237bc15c246924b65d924afc8ea54e7d4a,2017-10-26T23:05:22.000Z,0.01,0x6e10b475fd4e648c5efbaa51287fe523338059d6,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x9118fcbb50e2fc154f188acf418862c13c2acfe35b9a902a5cf50ec424122a3c
66,13,0.175500026,0xa5c10d510ebc59c7949f343744ecf913adbec94c,2017-10-26T22:57:10.000Z,0.013500002,0x6e10b475fd4e648c5efbaa51287fe523338059d6,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x20e2ae0ed37ab5e1adbcc2a1edae26538d9c485699687160f641478418ee8780
67,46,0.621,0x6413ea9b8fd8c9e90e5f1e7c3051b9f4ec08ca1e,2017-10-26T21:10:25.000Z,0.0135,0xcbdc70a281851b177194bfed2834f6baa544db8b,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0xb1b7a872ac41609d392dec7fe33ae4fd66966673c166489366554b49984dcdca
68,1,0.0135,0xd48e0e23c5f11810ac2a70b465b1a53906a05335,2017-10-26T20:22:06.000Z,0.0135,0xcbdc70a281851b177194bfed2834f6baa544db8b,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0xa2b64b82b4b665ca58ae89f6eb106ea3ab614a41154b886b0c7f8d702f785627
69,28,0.2688,0x0016e7237bc15c246924b65d924afc8ea54e7d4a,2017-10-26T16:01:16.000Z,0.0096,0x8fe13d64fff4b7d8def75717271f6e838599919f,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x96e26bfa09a76ce23b5689ce1222e412f8c7630ea8069e797509a43d4d7573a1
70,50,0.5,0x0016e7237bc15c246924b65d924afc8ea54e7d4a,2017-10-26T15:59:32.000Z,0.01,0x8fe13d64fff4b7d8def75717271f6e838599919f,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0xe0a5932b68e3d41c7fd19fc25131dd5bd032cc79e0ee6b69e689fc001ba1cd83
71,10,0.11,0x0016e7237bc15c246924b65d924afc8ea54e7d4a,2017-10-26T15:59:32.000Z,0.011,0x8fe13d64fff4b7d8def75717271f6e838599919f,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x69dc9781470ec688f03d6d3f5111f923424ece28e0b1de1fab78ed1a057571e8
72,1,0.0135,0x8b9c7322f7f46e3ce549fa430ed7d276f03264ae,2017-10-26T15:59:07.000Z,0.0135,0x8fe13d64fff4b7d8def75717271f6e838599919f,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x9e971e50526756d27bbf18b6c8b093a5afa9461ba9f05b998c49992c3be8a253
73,5,0.0675,0x3fb5df6d175b7ab55eb208d08a62ba6470ac3a3e,2017-10-26T14:58:16.000Z,0.0135,0xcbdc70a281851b177194bfed2834f6baa544db8b,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0xcdce4a6439f30f37abf5943444e3788009018a5c43a3d379b8536810530cedbe
74,29,0.3915,0x0016e7237bc15c246924b65d924afc8ea54e7d4a,2017-10-26T13:50:12.000Z,0.0135,0x95c160e0ad6a8586b76b77b6798525662a6ca87f,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0xbbe8c184a81ef51db4eec9842ed8a5ad57c9e82331de3b101d78cec6edd27ba1
75,19,0.2394,0x0016e7237bc15c246924b65d924afc8ea54e7d4a,2017-10-26T13:44:46.000Z,0.0126,0x8827c05bf3292d0f2c33b20a6f07fb8c287dbc74,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0xa1133522ff0807e8359f2dac5a598ec0d6dd52e2d060ba6d3d5f5baeddebc4a1
76,706,7.766,0xa5c10d510ebc59c7949f343744ecf913adbec94c,2017-10-26T06:39:57.000Z,0.011,0x8b81d80e36e1c2069efb9abb145d434aa68f058b,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0x6c7b573df4d96f1e5b24a510f5c2a6c5e40f3f1ee0fc4aa924d25caaa5620b6a
77,10,0.126,0x3153b0e03e7544e72250188b06979f1a97a188d2,2017-10-26T03:10:01.000Z,0.0126,0x8827c05bf3292d0f2c33b20a6f07fb8c287dbc74,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0xc5405d78449756011a7907216aa3885a8fa9f79c6eed64d48f357babb7a9774f
78,85,0.935,0xa5c10d510ebc59c7949f343744ecf913adbec94c,2017-10-26T01:14:54.000Z,0.011,0x3279fd991aa42a1759bef80b1c3202ee985668d3,sell,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0xe331d06e9e5640d0bef5ccff609746ef83c371c33f8bfea2abd56a74f586b394
79,52,0.571948,0x97d163c6506ef845bee877d84028cb99fe5167f4,2017-10-26T00:43:31.000Z,0.010999,0xc285d754df88d0283adbee7027bdb38f3a38adb6,buy,0x8a187d5285d316bcbc9adafc08b51d70a0d8e000,0xad9739ffff7b67435959cac76aca2d1079d78ae7a6ed3237d2603c5da7ff49ac
