,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,82,0.0000738,0xd64f9a51bae07df65a546408507e5163c7a1648e,2017-11-02T14:24:29.000Z,0.0000009,0x97079c598f01269a9128cad8e2d1eb0a00b07cd3,buy,0x179a2e413386db620d5b89a18550a3874385f726,0xddf6a0791e7946d6cc514994ec6f774840c6ad7aec5743fda10b05eb3605b251
1,90,0.000099,0xd64f9a51bae07df65a546408507e5163c7a1648e,2017-10-29T10:46:36.000Z,0.0000011,0x97079c598f01269a9128cad8e2d1eb0a00b07cd3,buy,0x179a2e413386db620d5b89a18550a3874385f726,0x8e81f555a5615a277363c75fb175dfaddf40765c1b73d593e76bb13fb92dc8c0
2,19898.997,0.027898393794,0x88802ae26da3c0ddb9786c01bad04529ffc4a4c0,2017-10-26T14:44:33.000Z,0.000001402,0x833438ee8ac5c23f579ec08142f2285b4a596b74,buy,0x179a2e413386db620d5b89a18550a3874385f726,0x4aaac82683f536194c9d81cd27bafe16e221f6e611ff17c38855a8b7ab3056fb
3,5000,0.0055,0x88802ae26da3c0ddb9786c01bad04529ffc4a4c0,2017-10-26T14:43:55.000Z,0.0000011,0xb417fc8781bfd509b91c6360493535512b133481,buy,0x179a2e413386db620d5b89a18550a3874385f726,0xe88ff14a0467dcdff5adece97236e89f1573c4c53c86765da8ecea1f6ac84761
4,2000,0.0027,0x88802ae26da3c0ddb9786c01bad04529ffc4a4c0,2017-10-26T14:43:55.000Z,0.00000135,0xb417fc8781bfd509b91c6360493535512b133481,buy,0x179a2e413386db620d5b89a18550a3874385f726,0x4420209bdd678225013ce810de7c9e82e25090f948b28320dec45ab7e93d50ba
5,49.84547,0.0000104675487,0xbbe8a1421d8583194bd959a640cb82225650c748,2017-10-26T12:00:28.000Z,0.00000021,0xb7cb348805dc234761868b96757662741873f37a,sell,0x179a2e413386db620d5b89a18550a3874385f726,0x145940ba848a3b3a8c9b28b939188dc8366e1339414f601541ecb4f4b0dce42a
6,0.00099,0.00099,0x2efba5bd2222fef44da8e0b6280e38591c8e3579,2017-10-24T17:08:41.000Z,1,0x1d5321e125f6c7079a716705541c7b371ca79e69,sell,0x179a2e413386db620d5b89a18550a3874385f726,0xc8b30751bdf202c2b63b3d3867bf7219e9470747172fbbac5fc16ead5b438217
7,0.001,0.0000000011,0x1d5321e125f6c7079a716705541c7b371ca79e69,2017-10-24T17:08:41.000Z,0.0000011,0xb417fc8781bfd509b91c6360493535512b133481,buy,0x179a2e413386db620d5b89a18550a3874385f726,0xc8b30751bdf202c2b63b3d3867bf7219e9470747172fbbac5fc16ead5b438217
8,0.001,0.001,0x2efba5bd2222fef44da8e0b6280e38591c8e3579,2017-10-24T17:03:59.000Z,1,0x0b773d7819259d78757b26dc4148812d35676d8f,sell,0x179a2e413386db620d5b89a18550a3874385f726,0x8f526d9a6df69106bae5381cea960066dfbccf655657e1b0e30573e9ef4975b4
9,0.001,0.001,0x2efba5bd2222fef44da8e0b6280e38591c8e3579,2017-10-24T16:48:32.000Z,1,0x0b773d7819259d78757b26dc4148812d35676d8f,sell,0x179a2e413386db620d5b89a18550a3874385f726,0xc5ba310d6c7965269992be79623ec2911e8f26e65eeb4137a81cd244f011fc97
10,0.00099,0.00099,0x2efba5bd2222fef44da8e0b6280e38591c8e3579,2017-10-24T07:19:28.000Z,1,0xd2ea382e498316d91b9de8557670149b479721a0,sell,0x179a2e413386db620d5b89a18550a3874385f726,0x05784ad3f87b2a8dee3e44a5ddae107980b97411e8f15ab0aae18caa83049dca
11,0.001,0.0000000011,0xd2ea382e498316d91b9de8557670149b479721a0,2017-10-24T07:19:28.000Z,0.0000011,0xb417fc8781bfd509b91c6360493535512b133481,buy,0x179a2e413386db620d5b89a18550a3874385f726,0x05784ad3f87b2a8dee3e44a5ddae107980b97411e8f15ab0aae18caa83049dca
12,0.001,0.0000000012,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,2017-10-23T16:47:08.000Z,0.0000012,0x833438ee8ac5c23f579ec08142f2285b4a596b74,buy,0x179a2e413386db620d5b89a18550a3874385f726,0x8f4245f4b5bb1b1dc8dccfa23a34348d17e24184cb255ff556aca3a001ad1462
13,0.00099,0.00099,0x2efba5bd2222fef44da8e0b6280e38591c8e3579,2017-10-23T16:47:08.000Z,1,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,sell,0x179a2e413386db620d5b89a18550a3874385f726,0x8f4245f4b5bb1b1dc8dccfa23a34348d17e24184cb255ff556aca3a001ad1462
14,0.00099,0.00099,0x2efba5bd2222fef44da8e0b6280e38591c8e3579,2017-10-23T16:38:03.000Z,1,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,sell,0x179a2e413386db620d5b89a18550a3874385f726,0x7ab18b6b45d9143a4f1450d0b70deb2c7290cb1f95497c583a3561b478eea13a
15,0.001,0.0000000012,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,2017-10-23T16:38:03.000Z,0.0000012,0x833438ee8ac5c23f579ec08142f2285b4a596b74,buy,0x179a2e413386db620d5b89a18550a3874385f726,0x7ab18b6b45d9143a4f1450d0b70deb2c7290cb1f95497c583a3561b478eea13a
16,0.001,0.0000000012,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,2017-10-23T16:33:07.000Z,0.0000012,0x833438ee8ac5c23f579ec08142f2285b4a596b74,buy,0x179a2e413386db620d5b89a18550a3874385f726,0xa07ed26cf1cd971d20419927aafc56a830278c79ada1fe0a29fcbea85468c0aa
17,0.00099,0.00099,0x2efba5bd2222fef44da8e0b6280e38591c8e3579,2017-10-23T16:33:07.000Z,1,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,sell,0x179a2e413386db620d5b89a18550a3874385f726,0xa07ed26cf1cd971d20419927aafc56a830278c79ada1fe0a29fcbea85468c0aa
