,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,120,0.25486212,0x23c7bbc74261548e7db86c90019a88215976ca65,2017-11-02T11:07:00.000Z,0.002123851,0xc4ce7d6b8b01d1ce6aec1e5295aa5c91d8f420fb,sell,0x5af2be193a6abca9c8817001f45744777db30756,0x6ea1f725aad55e49e9610371c596dd1d50f9b57de65d64a9b085a00610ece12e
1,100.231,0.22739006046,0xa932045dd38f003364a8ad3e6f1f0c3d4dcbad01,2017-11-02T11:07:00.000Z,0.00226866,0xc4ce7d6b8b01d1ce6aec1e5295aa5c91d8f420fb,sell,0x5af2be193a6abca9c8817001f45744777db30756,0xa50026802b3f49a25899f5ae04827f0b24fe5be7b745a7b065ab9ca3c52a05b7
2,0.11283336,0.00023700647268,0x009a12d4290630bc01fd82516ac57c1dc6a9bcfb,2017-11-02T10:14:49.000Z,0.0021005,0x771d43b5f8d26b512ab2c6fc7e6430eddad0d98d,sell,0x5af2be193a6abca9c8817001f45744777db30756,0xeb91bde68789abd7d17e2a9560327f36c81268c46b26b2d7e9ac0661fa148043
3,1131.83142071,2.377411899201355,0x009a12d4290630bc01fd82516ac57c1dc6a9bcfb,2017-11-02T10:12:35.000Z,0.0021005,0x771d43b5f8d26b512ab2c6fc7e6430eddad0d98d,sell,0x5af2be193a6abca9c8817001f45744777db30756,0xb56c48daba818a234ae52410eb7358d3fd510795a40863b91b26472a3d21a809
4,71.941,0.16680671906,0xa932045dd38f003364a8ad3e6f1f0c3d4dcbad01,2017-11-02T10:10:08.000Z,0.00231866,0x771d43b5f8d26b512ab2c6fc7e6430eddad0d98d,sell,0x5af2be193a6abca9c8817001f45744777db30756,0x9d6a45c438b9c9ce248af01b984926fc37b6b0e548dca8b68a552fc6c7bceadf
5,353.854,0.743447254,0xc1aac4101f510c66e44f0f0aee922051efc3ae53,2017-11-02T10:08:20.000Z,0.002101,0x771d43b5f8d26b512ab2c6fc7e6430eddad0d98d,sell,0x5af2be193a6abca9c8817001f45744777db30756,0x1a2cb2ce786d09d3599e2013e6c0ea1f938b687e9ffb01b67593a2e7d4704489
6,320.598,0.676141182,0x42f69c6ad371b450e18e52fb8e7046533742b91a,2017-11-02T10:07:42.000Z,0.002109,0x771d43b5f8d26b512ab2c6fc7e6430eddad0d98d,sell,0x5af2be193a6abca9c8817001f45744777db30756,0xc5a4f20e557919d8234b30c247cf2f03de781fda06871e31551df001c7066e6d
7,0.059,0.00013680094,0xa932045dd38f003364a8ad3e6f1f0c3d4dcbad01,2017-11-02T10:07:42.000Z,0.00231866,0x6d91f54040d517e2da18aff74f1a6ecd087b839d,sell,0x5af2be193a6abca9c8817001f45744777db30756,0xd5cd7deaa750049b1de5d4a96a8920f7187bb9ccc6c828f56c678ddf4255fe69
8,75,0.165000075,0x50caf279447e23e6b10762bbc89cc3af2c6ce44c,2017-11-02T10:06:34.000Z,0.002200001,0x771d43b5f8d26b512ab2c6fc7e6430eddad0d98d,sell,0x5af2be193a6abca9c8817001f45744777db30756,0xbd4b2e1b2ecec47ea09a4c49d1d5ad52923c52750e8d006432c89b93dcbdf91c
9,598.14574818,1.25670421692618,0xc1aac4101f510c66e44f0f0aee922051efc3ae53,2017-11-02T10:06:08.000Z,0.002101,0x6d91f54040d517e2da18aff74f1a6ecd087b839d,sell,0x5af2be193a6abca9c8817001f45744777db30756,0x36f33411aec563d157c9e76f2c7a86d0a8350e7a947e76d07590c9ca6507fb57
10,40,0.0872,0xdbbae39c54992479faac890e81eb4d8579b951d6,2017-11-02T10:05:16.000Z,0.00218,0x771d43b5f8d26b512ab2c6fc7e6430eddad0d98d,sell,0x5af2be193a6abca9c8817001f45744777db30756,0xf2b48f29ca2d0edda44b1fde02205cdc11fa6334a15fbbac049aa76c616b5659
11,500,1.0792515,0x80a7b8a9d2c13519064c4be4cc2661386ac7ebf1,2017-11-02T10:04:30.000Z,0.002158503,0x771d43b5f8d26b512ab2c6fc7e6430eddad0d98d,sell,0x5af2be193a6abca9c8817001f45744777db30756,0xd02e2aeabcf637dc6c11b8ef61c73fdf69b7cf5f2883fc600130dbe4542c025b
12,500,1.0827505,0xb69db6b9ea97e2d4960f5659fe871d5d0cdcfdf4,2017-11-02T10:03:27.000Z,0.002165501,0x771d43b5f8d26b512ab2c6fc7e6430eddad0d98d,sell,0x5af2be193a6abca9c8817001f45744777db30756,0x569ceea997533663947466d9ef5304491fcf33f85629c54906116338dc41fd29
13,106.42499621,0.234134991662,0xf28ed72c7340438dc609c9b1d609966f9b9b20e8,2017-11-02T10:02:03.000Z,0.0022,0x771d43b5f8d26b512ab2c6fc7e6430eddad0d98d,sell,0x5af2be193a6abca9c8817001f45744777db30756,0xe347c5612a15901d26bae091d1c2f8c828d9a00dfca40ecfa88029a4d59711d7
14,90,0.19800009,0x70c630ee53494a7c56a9e57c8b67bfaa76da4cfd,2017-11-02T10:01:10.000Z,0.002200001,0x771d43b5f8d26b512ab2c6fc7e6430eddad0d98d,sell,0x5af2be193a6abca9c8817001f45744777db30756,0xc887dd117954812d828e69307d00e58f4428be09772d7f66ff7d45fa5960326e
15,0.66689385,0.001477876785231,0x23c7bbc74261548e7db86c90019a88215976ca65,2017-11-02T10:00:20.000Z,0.00221606,0x771d43b5f8d26b512ab2c6fc7e6430eddad0d98d,sell,0x5af2be193a6abca9c8817001f45744777db30756,0x855d714eca633e3d505d7ba70a9bd4232bae023211c8d8ef76bdbc0a6991a4ff
16,0.20833333,0.0005,0x3075f7f189912f4f425dd7021b9c396434197477,2017-11-02T08:02:07.000Z,0.0024000000384000004,0x0d1faf9cbea4b2422c0c7ae8668b519df359ed63,buy,0x5af2be193a6abca9c8817001f45744777db30756,0x56fef8ef8b8d993519f5e3e78afdd07714777cf441977341e6fdbe99fd7d12cf
17,0.20833333,0.0005,0x4fda9e6bcd83af6c5cc771b5d20accc2b7720074,2017-11-02T07:58:25.000Z,0.0024000000384000004,0x0d1faf9cbea4b2422c0c7ae8668b519df359ed63,buy,0x5af2be193a6abca9c8817001f45744777db30756,0xb56cb6fa0509fc943c49dd042bff1a2ce96642f407a330d16d7e137a22b4ea6d
18,150,0.3735,0x42f69c6ad371b450e18e52fb8e7046533742b91a,2017-11-02T05:21:18.000Z,0.00249,0x49dc235474e153367b593cab41b56dff301fbea0,buy,0x5af2be193a6abca9c8817001f45744777db30756,0xe39878cb2396e329653ac9400e69cbc8e046a12dddf033e56e5d94e4cbff5ef8
19,400,0.992,0x42f69c6ad371b450e18e52fb8e7046533742b91a,2017-11-02T05:19:05.000Z,0.00248,0x87070f1ddef4a3a60cd75af5ef801dc3d5879ce5,buy,0x5af2be193a6abca9c8817001f45744777db30756,0xa0239551d1e1fea384df317d71c6ac933415e26e89eb990713c74d3b024f829e
20,9,0.01953,0x46ee1a36b2195e22464964fc1bfa4407106b487c,2017-11-02T01:22:12.000Z,0.00217,0x261090babcece97b97bc62a18a01bd02771386bf,sell,0x5af2be193a6abca9c8817001f45744777db30756,0xf488bf2c6e3475e839654c041b7ee29220a478cffbc7322258cb4dc21835264b
21,50,0.051,0x291110e10e002a02e11d3d2dee41bb320a6cdc2b,2017-11-02T01:21:53.000Z,0.00102,0x261090babcece97b97bc62a18a01bd02771386bf,sell,0x5af2be193a6abca9c8817001f45744777db30756,0x4adf24786c589e3ca3514f61b52dd01b3f8f63063af8ea8b5707f2fe4fe92229
22,23,0.05934,0xfff899ad2829495f6d2a0a2a401c357ca5cb37ca,2017-11-02T01:21:46.000Z,0.00258,0x9bea93d689584611060da426c35cfc1690b0251a,buy,0x5af2be193a6abca9c8817001f45744777db30756,0xa0bbc51b1014a87c0e2fdd7991903b2ab3665205461a7f26b17b71e045765096
23,635.76995774,1.4155863148080816,0xf92ade24ec1249c86522139c22379719b91a7af3,2017-11-02T01:19:32.000Z,0.002226570000004608,0x261090babcece97b97bc62a18a01bd02771386bf,sell,0x5af2be193a6abca9c8817001f45744777db30756,0x113a001da67fc12709ebfb2fb73788ccc6850f2f923c853a7890004a3a77202e
24,800,1.776,0xfbf7dc0756a9768d0c71aea5f8421f3b1eaee7d1,2017-11-02T01:15:57.000Z,0.00222,0x261090babcece97b97bc62a18a01bd02771386bf,sell,0x5af2be193a6abca9c8817001f45744777db30756,0x7b044c883bdd6e771085b3ed0b3f0801cbd4e6bea3f1edb47e71edc4fe145b53
25,1343.209,3.465477876791,0x0a7a79954c9cccb1c38d115d23a32331bf61f60d,2017-11-02T01:01:36.000Z,0.002579999,0x23c7bbc74261548e7db86c90019a88215976ca65,buy,0x5af2be193a6abca9c8817001f45744777db30756,0xd13f99a86080bc02764716057e5b0b91aaab5efcc15abe681c3df6d8dc612a32
26,274.76556307,0.714390463982,0x87070f1ddef4a3a60cd75af5ef801dc3d5879ce5,2017-11-02T00:47:13.000Z,0.0026,0xf44072eda87ede9613b6ae1b812de8a60ade27a2,sell,0x5af2be193a6abca9c8817001f45744777db30756,0xf2fd9043efaf887ad5b9908b23784b3d7e004fa88da2e9ef1b2c01a69e29e2ff
27,275.5923401,0.7110279618656599,0xf44072eda87ede9613b6ae1b812de8a60ade27a2,2017-11-02T00:47:13.000Z,0.002579999,0x23c7bbc74261548e7db86c90019a88215976ca65,buy,0x5af2be193a6abca9c8817001f45744777db30756,0xf2fd9043efaf887ad5b9908b23784b3d7e004fa88da2e9ef1b2c01a69e29e2ff
28,360.68424266,0.937779030916,0x87070f1ddef4a3a60cd75af5ef801dc3d5879ce5,2017-11-02T00:29:25.000Z,0.0026,0xf44072eda87ede9613b6ae1b812de8a60ade27a2,sell,0x5af2be193a6abca9c8817001f45744777db30756,0xf55c8bb903fb9b8378864180618c6fd8260d637deb80589950c217c4a770f7db
29,361.76955132,0.9298233567286259,0xf44072eda87ede9613b6ae1b812de8a60ade27a2,2017-11-02T00:29:25.000Z,0.002570209,0x23c7bbc74261548e7db86c90019a88215976ca65,buy,0x5af2be193a6abca9c8817001f45744777db30756,0xf55c8bb903fb9b8378864180618c6fd8260d637deb80589950c217c4a770f7db
30,1.082,0.00235012564,0x46ee1a36b2195e22464964fc1bfa4407106b487c,2017-11-02T00:20:41.000Z,0.00217202,0xeb1766ec75b40cf9ce25dc3de02ea591d0c07ab7,buy,0x5af2be193a6abca9c8817001f45744777db30756,0xde07e33f62354f211eee9642738b7a23bf72c763a475b7e45138f6c58ed7c1ad
31,215.36775,0.467783060355,0xf92ade24ec1249c86522139c22379719b91a7af3,2017-11-01T22:50:53.000Z,0.00217202,0xeb1766ec75b40cf9ce25dc3de02ea591d0c07ab7,buy,0x5af2be193a6abca9c8817001f45744777db30756,0x21ae91814c2ff2f9588672e542d0a0046096ad51d559de064852f1eb8d3ebd91
32,397.21649416,0.879977532509887,0xf92ade24ec1249c86522139c22379719b91a7af3,2017-11-01T22:11:26.000Z,0.0022153600000191067,0x0248cf74ed50adcf0c050a7ca4136dcb90520f84,sell,0x5af2be193a6abca9c8817001f45744777db30756,0xd73237601782a603be3ac6ba6a78004a7f9adb531b24f1228f75d12679415bbf
33,200,0.4577798,0xb8aa1af0c69b71e280599fb5d91e0142cd86eddb,2017-11-01T22:10:34.000Z,0.002288899,0x0248cf74ed50adcf0c050a7ca4136dcb90520f84,sell,0x5af2be193a6abca9c8817001f45744777db30756,0x7353490ece95fdbac5e5315f01a7a77265555b7f06d808aad0ba97a88eb9be3a
34,500,1.24915,0x80a7b8a9d2c13519064c4be4cc2661386ac7ebf1,2017-11-01T21:13:18.000Z,0.0024983,0xb4cb3491cfa6efa84bdaed36af02489737bbb4c9,sell,0x5af2be193a6abca9c8817001f45744777db30756,0xdd1c1a5f48c30438da3024db299bae2c57739a90c93d1dfafdcd7330be25cc82
35,60.95499999,0.1281200954,0xf44072eda87ede9613b6ae1b812de8a60ade27a2,2017-11-01T20:21:00.000Z,0.0021018800003448244,0xee88b84a838e94bf43d659b544fe847a0228cce7,buy,0x5af2be193a6abca9c8817001f45744777db30756,0xfe325b4ad9f6a361d28db499824ed7853720f4c9cbcdc5b4aff1280ee3e70c65
36,60.772135,0.131802606388,0xb4cb3491cfa6efa84bdaed36af02489737bbb4c9,2017-11-01T20:21:00.000Z,0.0021688,0xf44072eda87ede9613b6ae1b812de8a60ade27a2,sell,0x5af2be193a6abca9c8817001f45744777db30756,0xfe325b4ad9f6a361d28db499824ed7853720f4c9cbcdc5b4aff1280ee3e70c65
37,139.99999999,0.3480204000010007,0x4d8063b39be029c9cd2f9d1e2e19d04ca2ce4a27,2017-11-01T20:12:59.000Z,0.0024858600001847093,0xf92ade24ec1249c86522139c22379719b91a7af3,buy,0x5af2be193a6abca9c8817001f45744777db30756,0x3cfdf0649c6cd3bf22dcc181883b21f5ee4dccf3cb7de9068fd2c8bc4751a63c
38,597,1.49249403,0x40173225bc3156ba5691585695979868d6ef459a,2017-11-01T18:51:50.000Z,0.00249999,0xf92ade24ec1249c86522139c22379719b91a7af3,sell,0x5af2be193a6abca9c8817001f45744777db30756,0x6aeade785a9c97ba3510e0bf3585c21b503a62dbf6db5d9993dad85025bcf32c
39,99.78362461,0.215382953720685,0xb4cb3491cfa6efa84bdaed36af02489737bbb4c9,2017-11-01T18:40:21.000Z,0.0021585,0x9822d473b37741449b7e3b956c3e537792fbca46,sell,0x5af2be193a6abca9c8817001f45744777db30756,0x470feac0747629a2b613dd04b2ae3dd6fcb71a0ca5bcf52cfbb3485e1ef1a8b4
40,0.4,0.001,0x9822d473b37741449b7e3b956c3e537792fbca46,2017-11-01T17:21:49.000Z,0.0025,0x0d1faf9cbea4b2422c0c7ae8668b519df359ed63,buy,0x5af2be193a6abca9c8817001f45744777db30756,0xf4adb04fa5ba564c9cf5c4d88acaf91d95e73071a083637bbe9fb8d458493541
41,99.69095803,0.24922739507526667,0x9822d473b37741449b7e3b956c3e537792fbca46,2017-11-01T17:16:44.000Z,0.002500000000002675,0x0d1faf9cbea4b2422c0c7ae8668b519df359ed63,buy,0x5af2be193a6abca9c8817001f45744777db30756,0x2e076d7a68767512f4c6ebad4629162041641552a095a0cd13e924436098373d
42,115.77549561,0.249901407274185,0xb4cb3491cfa6efa84bdaed36af02489737bbb4c9,2017-11-01T17:15:43.000Z,0.0021585,0x6a1afc7af4278351bca6125e03cc9e1a3f41e80a,sell,0x5af2be193a6abca9c8817001f45744777db30756,0x12d95ab03601e70e06f5ee5421a1bdcc359bc2f4d2e6f538beb68b8231e29463
43,30,0.07739997,0xe2a8bae98335a1c9a68e7d3990ab31a1612c70ae,2017-11-01T15:48:10.000Z,0.002579999,0x23c7bbc74261548e7db86c90019a88215976ca65,buy,0x5af2be193a6abca9c8817001f45744777db30756,0xbe0a421ff42764b42125c42640dc7d56a8ab633e19402d35fc443abc08a28446
44,15,0.0345,0x1f686fd0890109346c9242ae8644985e18e1ee6d,2017-11-01T14:28:48.000Z,0.0023,0xef50d7ed7050b2e2356cc2d6a50ec64d7f8594be,sell,0x5af2be193a6abca9c8817001f45744777db30756,0xe20f8cf9690176cc825ecc7dd53bdbfb95dbf7265ff0003db568d4fd0319c0a9
45,12.10801539,0.03234050910669,0x5104efc872d45dba3a97bf02aebe240dfc283321,2017-11-01T13:14:35.000Z,0.002671,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,sell,0x5af2be193a6abca9c8817001f45744777db30756,0xf9009e0371a3d0a1626854ec113fba8967e640c10b8c535d0357fa053143732c
46,12.14444873,0.03125386027702411,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,2017-11-01T13:14:35.000Z,0.0025735100021311644,0xf92ade24ec1249c86522139c22379719b91a7af3,buy,0x5af2be193a6abca9c8817001f45744777db30756,0xf9009e0371a3d0a1626854ec113fba8967e640c10b8c535d0357fa053143732c
47,269.55669285,0.6954559979980194,0xad64fa72c8e02e7e7979fb1b055c840cd09c319e,2017-11-01T12:37:48.000Z,0.002579999000006352,0x23c7bbc74261548e7db86c90019a88215976ca65,buy,0x5af2be193a6abca9c8817001f45744777db30756,0x5e34481f66681ec2f7beac62c511223535a1a5613708b0f164e787f53e85a45b
48,9.01816463,0.02319778563019725,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,2017-11-01T11:43:23.000Z,0.002572340002867884,0xf92ade24ec1249c86522139c22379719b91a7af3,buy,0x5af2be193a6abca9c8817001f45744777db30756,0xeb07358d07ae47b49cf9150477467c08c21cf5777e4923a64044f2a2e5f5e71a
49,8.99111014,0.02401525518394,0x5104efc872d45dba3a97bf02aebe240dfc283321,2017-11-01T11:43:23.000Z,0.002671,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,sell,0x5af2be193a6abca9c8817001f45744777db30756,0xeb07358d07ae47b49cf9150477467c08c21cf5777e4923a64044f2a2e5f5e71a
50,20.86444112,0.05572892223152,0x5104efc872d45dba3a97bf02aebe240dfc283321,2017-11-01T10:57:28.000Z,0.002671,0x0cd2795a623adeb9370e2895e8d7526a6e4c556d,sell,0x5af2be193a6abca9c8817001f45744777db30756,0x9905d70774948120034bc84e22dc5d219b7d5c7032a3c575043bfbd299f9d512
51,20.92703445,0.05420091459032775,0x0cd2795a623adeb9370e2895e8d7526a6e4c556d,2017-11-01T10:57:28.000Z,0.002589995,0x5f66551c949aee555002e7aa7fd48a61006aa966,buy,0x5af2be193a6abca9c8817001f45744777db30756,0x9905d70774948120034bc84e22dc5d219b7d5c7032a3c575043bfbd299f9d512
52,0.983,0.00260495,0xb8a60374d856f89446deb4570d5719ef6d93ffac,2017-11-01T10:52:40.000Z,0.00265,0xf84bfa23c2ab766c47056011b26e2d12ade5c754,sell,0x5af2be193a6abca9c8817001f45744777db30756,0xe41619e5ece5f2a77712f5fd5a9d7dccf723edc9d5396207447f3422aa2d660d
53,44.24568973,0.08875198657332518,0xf92ade24ec1249c86522139c22379719b91a7af3,2017-11-01T10:27:13.000Z,0.0020058900000184308,0x53871c23523453988ebd6524fcb0ea29241ca4d2,sell,0x5af2be193a6abca9c8817001f45744777db30756,0x0bb79516f58a873638b0b7c89d6494fa64ff543a85a843577478bbdb821bb7fb
54,44.38285137,0.11450775654490625,0x53871c23523453988ebd6524fcb0ea29241ca4d2,2017-11-01T10:22:02.000Z,0.0025800000002322125,0xfbf7dc0756a9768d0c71aea5f8421f3b1eaee7d1,buy,0x5af2be193a6abca9c8817001f45744777db30756,0x35de729e6b3395617908227a341bf8912e4a4c24bf59ba2cad3198cf8a7647fe
55,0.03984847,0.00007974611301198,0x98b8f889dbe2b5c4c5879f65e13b24012f2afdce,2017-11-01T10:20:14.000Z,0.002001234,0x53871c23523453988ebd6524fcb0ea29241ca4d2,sell,0x5af2be193a6abca9c8817001f45744777db30756,0x7277982886223eec79d16be08e59a5289d2bb2a22c216fcb1255231283c42e83
56,399.71997261,0.7999331996662007,0x98b8f889dbe2b5c4c5879f65e13b24012f2afdce,2017-11-01T10:19:26.000Z,0.002001234,0x53871c23523453988ebd6524fcb0ea29241ca4d2,sell,0x5af2be193a6abca9c8817001f45744777db30756,0x39b49b7ffbd2bb7be2aa7bb31e9957d9fe9f9669bc3030f0d3d2d2e059b906ce
57,0.617,0.00163505,0xb8a60374d856f89446deb4570d5719ef6d93ffac,2017-11-01T09:57:36.000Z,0.00265,0xf84bfa23c2ab766c47056011b26e2d12ade5c754,sell,0x5af2be193a6abca9c8817001f45744777db30756,0x6e994ebd0eb8763a2874a7bf2287c5a9ee119e7094c0f6b59cf04d45ae4dec72
58,0.61714862,0.001592243455093752,0xf84bfa23c2ab766c47056011b26e2d12ade5c754,2017-11-01T09:49:04.000Z,0.0025800000251053824,0xfbf7dc0756a9768d0c71aea5f8421f3b1eaee7d1,buy,0x5af2be193a6abca9c8817001f45744777db30756,0x8c5eb9d924894838745d72df97e807700bb6221c8662cae1ae24109ea4b610e4
59,159.38590369,0.31896848958515345,0x98b8f889dbe2b5c4c5879f65e13b24012f2afdce,2017-11-01T09:40:36.000Z,0.002001234,0x5efdca26e7cbb98c4f23a46d7a724c6c9148d0cf,sell,0x5af2be193a6abca9c8817001f45744777db30756,0xe2d168abe202b179562f2bba58b52ce62731c0550f15691ee2b89b96700f7f6a
60,40,0.080184,0x9bea93d689584611060da426c35cfc1690b0251a,2017-11-01T09:38:04.000Z,0.0020046,0x5efdca26e7cbb98c4f23a46d7a724c6c9148d0cf,sell,0x5af2be193a6abca9c8817001f45744777db30756,0xe6d27a45fa8a12f4de234ee91b06794b427b1f6b42e3e4b1b9b325e204f17675
61,120.09810453,0.31105409075696344,0x53871c23523453988ebd6524fcb0ea29241ca4d2,2017-11-01T06:04:34.000Z,0.00259000000020203,0xfbf7dc0756a9768d0c71aea5f8421f3b1eaee7d1,buy,0x5af2be193a6abca9c8817001f45744777db30756,0xc12c72ac759fc065dae74408693dfd0b730a04c4f7f2138f83768855ddb9dbd3
62,66.55184327,0.17236927407043365,0x5fda273343324e1ed600622eb6d1ea1a33462782,2017-11-01T05:44:31.000Z,0.002590000000017034,0xfbf7dc0756a9768d0c71aea5f8421f3b1eaee7d1,buy,0x5af2be193a6abca9c8817001f45744777db30756,0x5a595d170841b6724a451721de9417c209f486ac82c8c66e6f361a3bcdb07fa7
63,700,1.7535007,0x3dee4a4e076e8d82859d241db0baf46f112cfa23,2017-11-01T01:58:24.000Z,0.002505001,0x23c7bbc74261548e7db86c90019a88215976ca65,sell,0x5af2be193a6abca9c8817001f45744777db30756,0xda2c7dceae5847342e7d4866ba7de127e9450c83f279f4e44f5bd99031c68622
64,606.64152104,1.521942247985152,0xb4cb3491cfa6efa84bdaed36af02489737bbb4c9,2017-11-01T01:58:19.000Z,0.0025088,0x23c7bbc74261548e7db86c90019a88215976ca65,sell,0x5af2be193a6abca9c8817001f45744777db30756,0x2def30e727163ee628bb6b2c0e535b1964bf215c5162f823d1945bd390a2acc9
65,100,0.2505117,0x5557a30d864e438e7b21ef97df9d1034e7c16cf5,2017-11-01T01:58:19.000Z,0.002505117,0x23c7bbc74261548e7db86c90019a88215976ca65,sell,0x5af2be193a6abca9c8817001f45744777db30756,0x9fc8be7ddfc0dfc6166e913a39d9f059912f9d58df7ae20dfb3853db1011d0c1
66,259.849,0.65222099,0x6c7b7b774297f592ad655dddec109c8f1473a28d,2017-11-01T01:58:08.000Z,0.00251,0x23c7bbc74261548e7db86c90019a88215976ca65,sell,0x5af2be193a6abca9c8817001f45744777db30756,0xc25d05c9a766bcd7153335f8e292adb96332e35edb900f5d4f8f699f63bcf64f
67,89.73,0.2467575,0xd90f87f04f263559c8c73d3d1c0a040c19990a48,2017-11-01T01:21:57.000Z,0.00275,0xf44072eda87ede9613b6ae1b812de8a60ade27a2,sell,0x5af2be193a6abca9c8817001f45744777db30756,0x2d07fdb84d59cc7fa5b97c72cbcf439cff46c2e02bdc01bfbe44dd99699dfd89
68,90,0.2412,0xf44072eda87ede9613b6ae1b812de8a60ade27a2,2017-11-01T01:21:57.000Z,0.00268,0x5cafe4321d49717abcdf911235faf6e614b8791f,buy,0x5af2be193a6abca9c8817001f45744777db30756,0x2d07fdb84d59cc7fa5b97c72cbcf439cff46c2e02bdc01bfbe44dd99699dfd89
69,100,0.26,0x9822d473b37741449b7e3b956c3e537792fbca46,2017-11-01T01:05:07.000Z,0.0026,0x23c7bbc74261548e7db86c90019a88215976ca65,sell,0x5af2be193a6abca9c8817001f45744777db30756,0xba96304af1d12de225a6e906d8f6cf940976e3909b0bbaa260f731e8ae67e4a0
70,17.4,0.046284,0x41ac2e484520e65a1a176ab8929dc68dc38fcdd8,2017-11-01T01:02:30.000Z,0.00266,0x23c7bbc74261548e7db86c90019a88215976ca65,sell,0x5af2be193a6abca9c8817001f45744777db30756,0x99de8f6b800cbfc575fab4372babe6701431e86859813efc73c5bd05052d3f86
71,1251.054,3.2527404,0x87070f1ddef4a3a60cd75af5ef801dc3d5879ce5,2017-11-01T00:58:54.000Z,0.0026,0x23c7bbc74261548e7db86c90019a88215976ca65,sell,0x5af2be193a6abca9c8817001f45744777db30756,0xf3b5b321d9cc92b74eddccf138678bd8abc7f1a6a44593a72f9a2acf0729523a
72,100,0.268,0x9822d473b37741449b7e3b956c3e537792fbca46,2017-10-31T23:47:04.000Z,0.00268,0x5cafe4321d49717abcdf911235faf6e614b8791f,buy,0x5af2be193a6abca9c8817001f45744777db30756,0xb0a6fe4309d00249e540e114b64d42d8cddd9784b32a0b4dbe54da9d24c144ed
73,28.539,0.076199187078,0xdcdbb380953c9cfa4f51a8d9f80d88b9a362e707,2017-10-31T23:31:50.000Z,0.002670002,0x5cafe4321d49717abcdf911235faf6e614b8791f,sell,0x5af2be193a6abca9c8817001f45744777db30756,0x4160bd7edbe8faefcccf20f4365566f06abd5a20be724eb795603e91029f2898
74,75,0.20175,0x427370ce17ff9b7df4651c4ab7d339f4653b57dd,2017-10-31T23:10:14.000Z,0.00269,0xfbf7dc0756a9768d0c71aea5f8421f3b1eaee7d1,buy,0x5af2be193a6abca9c8817001f45744777db30756,0x045c8130a92bfdd44dc156cb3e1bc887fe36b4ba7e3fe7803119473561419b41
75,318.39999999,0.8437599999735,0xb8a60374d856f89446deb4570d5719ef6d93ffac,2017-10-31T21:52:26.000Z,0.00265,0xf92ade24ec1249c86522139c22379719b91a7af3,sell,0x5af2be193a6abca9c8817001f45744777db30756,0x31cd84b69cfd262675910b5ab43b28c6aa2819a3fbda1cddacfdddc3bc907879
76,184.151,0.46221901,0x6c7b7b774297f592ad655dddec109c8f1473a28d,2017-10-31T18:28:02.000Z,0.00251,0xc2e7baeee8bd51a69b2ddb3e34c507203fc9d338,sell,0x5af2be193a6abca9c8817001f45744777db30756,0x9aa3fedae8ae2ac88254f5acdb7610c96084c2ea3b458a83b70831b586e0ee9a
77,1.46088126,0.00390055588596252,0xdcdbb380953c9cfa4f51a8d9f80d88b9a362e707,2017-10-31T18:24:14.000Z,0.002670002,0x739fc8613e0177a800fdb72f4322487e1a23a064,sell,0x5af2be193a6abca9c8817001f45744777db30756,0xa4f707c9cddd31b79d44c4f6ddb140e3eefa3282a69f090009f73c7666d54d25
78,1.53,0.0041463,0xb2006deda3f1259a883b2905a1714a91ad88870c,2017-10-31T17:19:19.000Z,0.00271,0x739fc8613e0177a800fdb72f4322487e1a23a064,sell,0x5af2be193a6abca9c8817001f45744777db30756,0x1f97020b9e8b70e5bcb107de54eaeb181811b7ead6b3d2a29b6a09f45976bf04
79,3,0.00807,0x739fc8613e0177a800fdb72f4322487e1a23a064,2017-10-31T17:18:15.000Z,0.00269,0xfbf7dc0756a9768d0c71aea5f8421f3b1eaee7d1,buy,0x5af2be193a6abca9c8817001f45744777db30756,0x5a3ac772c3d8f50f56c1fff90849074d372790be747c93f438d11ae3bab8202d
80,184.76597226,0.4988681251025759,0xe7110bc0d3a125f4e9b7a0c825a8e1a0f53ee5c3,2017-10-31T16:41:52.000Z,0.002700000000003117,0x5cafe4321d49717abcdf911235faf6e614b8791f,buy,0x5af2be193a6abca9c8817001f45744777db30756,0xd6d29f11e482f6b2facb0eddbca52be020b76649357ac60f7b68199a07f8f69d
81,180.537,0.478425035907,0xa5d7d7a2b5edc37d43b5da1629cfac6c3d23c7ef,2017-10-31T15:58:09.000Z,0.002650011,0x5cafe4321d49717abcdf911235faf6e614b8791f,sell,0x5af2be193a6abca9c8817001f45744777db30756,0xb2f38eece9880e57fda387f88e1fe2a3e414eaf331233e74581bbf7b8da4d2c6
82,311.682,0.8259573,0x40173225bc3156ba5691585695979868d6ef459a,2017-10-31T15:58:09.000Z,0.00265,0x5cafe4321d49717abcdf911235faf6e614b8791f,sell,0x5af2be193a6abca9c8817001f45744777db30756,0x6d1c137859594e73220cebabdc8cd1f2985d00a34ed679583b25a8c04cef2180
