,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,9583,0.023,0x75768239a714dcf95fb1ef6797df67cb55f9bf5f,2017-11-02T13:26:35.000Z,0.00000240008348116456,0xacba24578577004624344761f641a710800ee012,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0xe830a1935593e314d48be8dc2da33d6a1af670424bb624931a58db327a47baea
1,208,0.0005,0x4fda9e6bcd83af6c5cc771b5d20accc2b7720074,2017-11-02T12:39:04.000Z,0.00000240384615384615,0xacba24578577004624344761f641a710800ee012,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x09101251cc122831ee377882d4e6fcf6aeb1569bf896796c52a7b50651b479fa
2,208,0.0005,0x3075f7f189912f4f425dd7021b9c396434197477,2017-11-02T12:18:18.000Z,0.00000240384615384615,0xacba24578577004624344761f641a710800ee012,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0xbf72e272bd0f5638ede0b80785af8b8f33f764ab796aabd51dc24ae12a194c61
3,300,0.00087,0x0b773d7819259d78757b26dc4148812d35676d8f,2017-10-31T14:04:51.000Z,0.0000029,0xacba24578577004624344761f641a710800ee012,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0xee36905d7d3a0c57d8ac6bd298efef1fe43cffcd681feb19908467ef33a8ce33
4,0,0,0x9869f389b5fe3543bf60b21096c235d02d0686e1,2017-10-30T04:03:58.000Z,NaN,0x379374d13077e8867ef31803c37baf9785a17c00,sell,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x45e2fa3dc5d4ff6c24f85a54fb3a98cd3709ac37624a42257dfef6744a234171
5,0,0,0x9869f389b5fe3543bf60b21096c235d02d0686e1,2017-10-30T02:43:20.000Z,NaN,0x379374d13077e8867ef31803c37baf9785a17c00,sell,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x6c050ad7cfe0f375baabe8c4b8c3e7ec8f7b40b8c9e501bdbf800ee4b2aa6e8e
6,251,0.0005,0x34f9560c63078eb61872a4dc2ccd20e21c34feaf,2017-10-28T20:44:50.000Z,0.00000199203187250996,0xacba24578577004624344761f641a710800ee012,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x2ebf26d8660bf588476b97a95ad725239442be74cb77f8d086ebf4495f90cc3f
7,251,0.0005,0xe444a40689f51f63bcd29910622035707d533d29,2017-10-28T20:44:20.000Z,0.00000199203187250996,0xacba24578577004624344761f641a710800ee012,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0xf2e37d1c2254ab76d6630b07355f7baad17102f06a080d5844ae55bdcd297030
8,2326,0.0067454,0x14af12c11fa2fc702add3a5f65143bc1158871e4,2017-10-27T06:39:37.000Z,0.0000029,0x035392de57aa4fe343d86494103dbe1b068a56c6,sell,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x62590fb98aa355a9582388ee919c82bcdb8acb8851c49425064f10d6e9c40bb7
9,7674,0.0222546,0x14af12c11fa2fc702add3a5f65143bc1158871e4,2017-10-27T05:47:24.000Z,0.0000029,0xaa569b62d106d4d59773c55e230d0373cd82f6a5,sell,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x81f125e6294e997e1f7542c2138efec1c16658d9a079fc9414bf91aa9ee1cda5
10,9970,0.031904,0x14af12c11fa2fc702add3a5f65143bc1158871e4,2017-10-27T04:42:51.000Z,0.0000032,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,sell,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x03851b44da9988c4d0866e82ff4af8ae57ebb0d2435fb821a7a6a9f722cb1d74
11,10000,0.029,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,2017-10-27T04:42:51.000Z,0.0000029,0xacba24578577004624344761f641a710800ee012,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x03851b44da9988c4d0866e82ff4af8ae57ebb0d2435fb821a7a6a9f722cb1d74
12,2000,0.0068,0x14af12c11fa2fc702add3a5f65143bc1158871e4,2017-10-25T03:30:51.000Z,0.0000034,0xaa569b62d106d4d59773c55e230d0373cd82f6a5,sell,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x2e32b0b8adac08794ee9c89a6f5cbf35564129515eaf440ff57368d429043f49
13,4985,0.02437665,0x14af12c11fa2fc702add3a5f65143bc1158871e4,2017-10-25T03:16:35.000Z,0.00000489,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,sell,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x88b1e6fccb2b759e114389eec19ba8c13eee0121b566a65e1792c1e240e51f6b
14,5000,0.018,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,2017-10-25T03:16:35.000Z,0.0000036,0x5d26ca4ee3be471a4c5eeccb3bac220603387c77,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x88b1e6fccb2b759e114389eec19ba8c13eee0121b566a65e1792c1e240e51f6b
15,5000,0.018,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,2017-10-25T03:07:24.000Z,0.0000036,0x5d26ca4ee3be471a4c5eeccb3bac220603387c77,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x9eb0315f7a48b6fd4a57d6d0cb67196b2e127ff03f1317f457f96e6ccfab8613
16,5000,0.0185,0xd2ea382e498316d91b9de8557670149b479721a0,2017-10-25T03:07:24.000Z,0.0000037,0xacba24578577004624344761f641a710800ee012,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x0df5c5fcf710f729147c49e7c532a151453b68f93036d72968a3ca367a011e8f
17,4985,0.02437665,0x14af12c11fa2fc702add3a5f65143bc1158871e4,2017-10-25T03:07:24.000Z,0.00000489,0xd2ea382e498316d91b9de8557670149b479721a0,sell,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x0df5c5fcf710f729147c49e7c532a151453b68f93036d72968a3ca367a011e8f
18,4985,0.02497485,0x14af12c11fa2fc702add3a5f65143bc1158871e4,2017-10-25T03:07:24.000Z,0.00000501,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,sell,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x9eb0315f7a48b6fd4a57d6d0cb67196b2e127ff03f1317f457f96e6ccfab8613
19,8798,0.039582202,0x39fc98cb495874e5d1440aaeecd65bc7c33bfbde,2017-10-22T19:29:10.000Z,0.000004499,0x38a4ff00c207cbd78ab34b6ddd1b8754e4498508,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x73a2fe7ef236deed6aa1533c3ef71948943c6d333c1f4ed4f3cd36eb647653fc
20,2065,0.009290435,0x39fc98cb495874e5d1440aaeecd65bc7c33bfbde,2017-10-22T19:27:41.000Z,0.000004499,0x71222e69a1e14927473944bd1f9cfaf60d4d7cc3,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0xf8d8a2cc228ba1a9d6cf1cfd6b46bff8f9532355e2e6edfaf59ce405c5b9f77d
21,30000,0.01059,0x035392de57aa4fe343d86494103dbe1b068a56c6,2017-10-22T19:26:53.000Z,0.000000353,0x39fc98cb495874e5d1440aaeecd65bc7c33bfbde,sell,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x250c121979f0325509d1a8964682333b989b015f46b9e6a07a8862e10c896421
22,60000,0.0222,0x5d26ca4ee3be471a4c5eeccb3bac220603387c77,2017-10-22T19:25:48.000Z,0.00000037,0x39fc98cb495874e5d1440aaeecd65bc7c33bfbde,sell,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x7be6cedeb6b3626b628767ef672ee44bfbaa4fe0b210101ff0bed7a95f1283d0
23,50000,0.019,0xacba24578577004624344761f641a710800ee012,2017-10-22T19:25:48.000Z,0.00000038,0x39fc98cb495874e5d1440aaeecd65bc7c33bfbde,sell,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x23edfca88c33e6bc976784f5729c43909778cf8d37c15dc1d9dac364e1f8564b
24,10000,0.03762,0x0fe6090affd0b5ba58586ab18fe575a51911d098,2017-10-20T16:08:52.000Z,0.000003762,0x385a48789c132e8a748b1baa8b4d28842490d580,sell,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0xaf2e4206ad72c7bf5d2241d84934c8ce7dfc6eaaa06e4cd57ff041c562344c8c
25,10000,0.03762,0x0fe6090affd0b5ba58586ab18fe575a51911d098,2017-10-20T14:48:37.000Z,0.000003762,0x385a48789c132e8a748b1baa8b4d28842490d580,sell,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0xc69a768995af260748644266cd10249709ce0a56ab2e043b99d89168d04b626d
26,1,0.000004498,0x6cdea8e07bf82d7a07dbf36642d6e5be8623845c,2017-10-20T01:58:52.000Z,0.000004498,0x385a48789c132e8a748b1baa8b4d28842490d580,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0xd81b78162cd850c666587408cf0c8f990ee62924ccc6e885d04bf4bd89f64130
27,1,0.0000038,0xb52687509884fb1ebf45046a5a8f6bf6c48eeba6,2017-10-19T15:53:54.000Z,0.0000038,0x6a1afc7af4278351bca6125e03cc9e1a3f41e80a,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x6c709573bce0b5625db4e3af118b500c5f4b8a8de80f5611e3f7c9cabd5ea944
28,4430,0.01666566,0x5d5065b42bdee0274e394ba9042c21e1818c69cf,2017-10-19T15:01:22.000Z,0.000003762,0x939248c057992a444c842909c3459689a80bc6dd,sell,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0xb1a24d6c656fb7b43a47da070d78806a597afcb0cc78d7b604ebdd7dead2658f
29,24389,0.0926782,0x853a69a05e1f42436b51e0ebd9441725261b6608,2017-10-19T02:13:09.000Z,0.0000038,0x385a48789c132e8a748b1baa8b4d28842490d580,sell,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0xd2b309a3c4229543fb49586a185e6a74bf075a27079e7dfabe118056acb60d19
30,5000,0.019,0x853a69a05e1f42436b51e0ebd9441725261b6608,2017-10-19T02:04:21.000Z,0.0000038,0xaa569b62d106d4d59773c55e230d0373cd82f6a5,sell,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0xc5052593f02db9ba677ece995ac428314155387b7a260cbd0f720271e19c855b
31,7,0.0000266,0x853a69a05e1f42436b51e0ebd9441725261b6608,2017-10-18T21:24:03.000Z,0.0000038,0x655f66f6b5b750a477224ab894e413b7df277d8d,sell,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x294bbbd1f87d4aff4f6702822522c3f83346f4dd5fc57aee3632289e24ae95b0
32,70536,0.2680368,0x853a69a05e1f42436b51e0ebd9441725261b6608,2017-10-18T21:23:11.000Z,0.0000038,0x655f66f6b5b750a477224ab894e413b7df277d8d,sell,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x04ba4a40249f2416095aae304b77bfc733c36d9616714cbeeb868d41e1d83d26
33,15481,0.058830072604341484,0x655f66f6b5b750a477224ab894e413b7df277d8d,2017-10-18T21:22:25.000Z,0.00000380014679958281,0x6a1afc7af4278351bca6125e03cc9e1a3f41e80a,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0xf61bf014ddcac02a8716b7f9fff43786b7fd62d0295b5eb174c7131f02ba1b66
34,131,0.0005,0x42c24a83bded723edfdf5883bc7efb30bc1a1bf3,2017-10-18T21:09:10.000Z,0.00000381679389312977,0x6a1afc7af4278351bca6125e03cc9e1a3f41e80a,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x73c35f98f8b611905452a3ac626677ee96927ac7ca70453da1cd9ba017478595
35,131,0.0005,0x379374d13077e8867ef31803c37baf9785a17c00,2017-10-18T20:41:07.000Z,0.00000381679389312977,0x6a1afc7af4278351bca6125e03cc9e1a3f41e80a,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0xc43fb47ce930597c05e82e093ffd997a4e1347dfeb929d6eb2513d8dda25e187
36,131,0.0005,0x42c24a83bded723edfdf5883bc7efb30bc1a1bf3,2017-10-18T19:16:47.000Z,0.00000381679389312977,0x6a1afc7af4278351bca6125e03cc9e1a3f41e80a,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x7b1c2fb5b8212e1bdacaae4aa796a93e6c7f0450c7ab4b42d8bd5584cd6f5554
37,131,0.0005,0x379374d13077e8867ef31803c37baf9785a17c00,2017-10-18T19:07:30.000Z,0.00000381679389312977,0x6a1afc7af4278351bca6125e03cc9e1a3f41e80a,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x6d1ed13bfa7c466a45c3a87ec5bbd4c1b3973a518eb03fd3d270edd827987f64
38,131,0.0005,0x379374d13077e8867ef31803c37baf9785a17c00,2017-10-18T17:43:24.000Z,0.00000381679389312977,0x6a1afc7af4278351bca6125e03cc9e1a3f41e80a,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x31996cfbfc39afe24fc2c7517dcb6ad2fadd60030a5213dd0bec5e2867e01a79
39,131,0.0005,0x42c24a83bded723edfdf5883bc7efb30bc1a1bf3,2017-10-18T17:37:23.000Z,0.00000381679389312977,0x6a1afc7af4278351bca6125e03cc9e1a3f41e80a,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0xba29f6b927e2c88f62ed9ea63bc86c43ae181ec49fe2cdd4eb7fd6feb1ac2474
40,131,0.0005,0xf9695cd65d6dfdf257fab76a3eb0cb8f001971cc,2017-10-18T17:36:41.000Z,0.00000381679389312977,0x6a1afc7af4278351bca6125e03cc9e1a3f41e80a,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x071d0a7244628574172ae80d833b074f2e3a7e6f63af1a44f990c3c2324651cf
41,131,0.0005,0xcd912af5286dc0b0a23edb30209734ecb60838b3,2017-10-18T17:12:38.000Z,0.00000381679389312977,0x6a1afc7af4278351bca6125e03cc9e1a3f41e80a,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x21ed6f80de4dc95370cc8d88392c55d96d569db48222c5e1b0ce55e3c19a3c48
42,1,0.000004499,0x3ac636ac5c3a2576156ac5f10066ca68abe0ad54,2017-10-18T16:31:24.000Z,0.000004499,0x385a48789c132e8a748b1baa8b4d28842490d580,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0xbba547e9b0cf68e9a0d0141736c3966ed30f297adb2ccf559ed354f6b9629cb0
43,131,0.0005,0xf9695cd65d6dfdf257fab76a3eb0cb8f001971cc,2017-10-18T16:05:52.000Z,0.00000381679389312977,0x6a1afc7af4278351bca6125e03cc9e1a3f41e80a,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0xaee3a30fba6bef2f174ad00c1b01683f676b0ce1c873eb9531ec532ad68309c7
44,131,0.0005,0x379374d13077e8867ef31803c37baf9785a17c00,2017-10-18T16:05:13.000Z,0.00000381679389312977,0x6a1afc7af4278351bca6125e03cc9e1a3f41e80a,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x6e36aae4108ee54a4b7c9cdebd04bab547ab7eaa6b655ba75408cce54e192930
45,131,0.0005,0x42c24a83bded723edfdf5883bc7efb30bc1a1bf3,2017-10-18T16:03:49.000Z,0.00000381679389312977,0x6a1afc7af4278351bca6125e03cc9e1a3f41e80a,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x46683afc42ccbe29459a2132f33546616ec4b4186067d3e406c44d80de5946c8
46,131,0.0005,0x16e5d97bbc92417e051e3b2cabfbf8ceea2acb9c,2017-10-18T15:51:38.000Z,0.00000381679389312977,0x6a1afc7af4278351bca6125e03cc9e1a3f41e80a,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x6148b19ea73f36b7b964b167b7c7ec00c95dae22f17934b3b9dbfd415925681d
47,131,0.0005,0xf9695cd65d6dfdf257fab76a3eb0cb8f001971cc,2017-10-18T15:19:13.000Z,0.00000381679389312977,0x6a1afc7af4278351bca6125e03cc9e1a3f41e80a,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x436cccca7931a8625551d497c74fda2a7c8a29db2d270d656f547cd85bb4513d
48,131,0.0005,0x379374d13077e8867ef31803c37baf9785a17c00,2017-10-18T15:19:13.000Z,0.00000381679389312977,0x6a1afc7af4278351bca6125e03cc9e1a3f41e80a,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x95269f2d543ea848641455fc246c06ceab4331f7e69850793d0fb9a74afa0478
49,131,0.0005,0x42c24a83bded723edfdf5883bc7efb30bc1a1bf3,2017-10-18T15:16:54.000Z,0.00000381679389312977,0x6a1afc7af4278351bca6125e03cc9e1a3f41e80a,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x08cf338dad4edbaf7a9fa71d783dc9c40879d77be0c1e4deda9666bb533d798a
50,131,0.0005,0xcd912af5286dc0b0a23edb30209734ecb60838b3,2017-10-18T15:11:56.000Z,0.00000381679389312977,0x6a1afc7af4278351bca6125e03cc9e1a3f41e80a,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0xa1a70003027586eba64777f324c5ef75ecf7a6ee94ad73d52cfcae2cdcacef77
51,131,0.0005,0x42c24a83bded723edfdf5883bc7efb30bc1a1bf3,2017-10-18T13:25:51.000Z,0.00000381679389312977,0x6a1afc7af4278351bca6125e03cc9e1a3f41e80a,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x32569af4c4f5844bff53a4279eea981382b26633cd7fd254e1da06a25f33b5d5
52,135,0.0005,0xcd912af5286dc0b0a23edb30209734ecb60838b3,2017-10-18T03:13:21.000Z,0.0000037037037037037,0x655f66f6b5b750a477224ab894e413b7df277d8d,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x92522c334c448f663a0fb528df356c5c2f401ee3d602db669558604c45c25e75
53,135,0.0005,0xcd912af5286dc0b0a23edb30209734ecb60838b3,2017-10-17T22:21:53.000Z,0.0000037037037037037,0x655f66f6b5b750a477224ab894e413b7df277d8d,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0xcfb42c449c536b2b96533f37225fc6ce57bacc3787029b9d543db82f43b1a5d9
54,135,0.0005,0x42c24a83bded723edfdf5883bc7efb30bc1a1bf3,2017-10-17T19:59:21.000Z,0.0000037037037037037,0x655f66f6b5b750a477224ab894e413b7df277d8d,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0xcfef93cefe574ec4c66fd242a14a4861f8f6b77d44c8b446e0210076cb57af28
55,135,0.0005,0x16e5d97bbc92417e051e3b2cabfbf8ceea2acb9c,2017-10-17T17:55:11.000Z,0.0000037037037037037,0x655f66f6b5b750a477224ab894e413b7df277d8d,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0xbeac01a698bbd13089c5be5e40359db356ef6c1b4634a0a27f9e0f9ba3299d6f
56,135,0.0005,0x42c24a83bded723edfdf5883bc7efb30bc1a1bf3,2017-10-17T15:44:20.000Z,0.0000037037037037037,0x655f66f6b5b750a477224ab894e413b7df277d8d,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x73f04a1e66b215eb3b8527bbfa77797beb6084535661bc5fcd518675f0f44985
57,135,0.0005,0xcd912af5286dc0b0a23edb30209734ecb60838b3,2017-10-17T05:37:19.000Z,0.0000037037037037037,0x655f66f6b5b750a477224ab894e413b7df277d8d,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x5092738e14863a51813768c8a8a9997170ab8937ef71283a642ceb288f2ecf9e
58,7005,0.02591965031856354,0x6d9f5cbb8d3e724c3b35b437fe4faae6c4de5554,2017-10-17T03:35:37.000Z,0.0000037001642139277,0x655f66f6b5b750a477224ab894e413b7df277d8d,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x6cfb8f9003629c5f055001df7a847e8943faab7c3a601a96593efe9063de5ab0
59,3,0.000012345510851402,0x6d9f5cbb8d3e724c3b35b437fe4faae6c4de5554,2017-10-17T03:33:23.000Z,0.00000411517028380066,0x655f66f6b5b750a477224ab894e413b7df277d8d,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x4d85a2611f501df4af556671deaa7af3d05543bfdd24632655046a382a87f00f
60,1888,0.0071744,0x853a69a05e1f42436b51e0ebd9441725261b6608,2017-10-16T20:21:42.000Z,0.0000038,0x655f66f6b5b750a477224ab894e413b7df277d8d,sell,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0xeaf8f71d257dea9bebecbfa9697341fd7109998c57077d939878d36f26e22ef3
61,5000,0.0105,0x14af12c11fa2fc702add3a5f65143bc1158871e4,2017-10-16T07:54:02.000Z,0.0000021,0x655f66f6b5b750a477224ab894e413b7df277d8d,sell,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0xa4b076cdbf639a26f7c60062fcf745e9faf01987ef7e89860c2ce586a31b6f4e
62,70000,0.31465,0x655f66f6b5b750a477224ab894e413b7df277d8d,2017-10-16T06:54:58.000Z,0.000004495,0x385a48789c132e8a748b1baa8b4d28842490d580,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x082d5bf390c16b4cda7deb4bbb5dcd579ff14e0113c71e2ec4e7142a3c2e8fa5
63,4445,0.019999998568,0x90e543bbe2b020dcf69e06927ca2920750dc211f,2017-10-09T15:08:56.000Z,0.00000449943724814398,0x385a48789c132e8a748b1baa8b4d28842490d580,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0xb707e1a9e337c0ad40f448c73ea0ddd7ec862496bd0de434d7d3b108cda964ca
64,1,0.000004499,0x602dac96d8d0530148bf159acc7927f7ef09f31b,2017-10-09T01:30:18.000Z,0.000004499,0x385a48789c132e8a748b1baa8b4d28842490d580,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x2491db5506afcfd5880e6cc3f4f28a5d8bb647eed6a339939d3574e2183d24fb
65,25000,0.095,0x4b43041e418b16bb7dcf94a09f721cc73574fc04,2017-09-29T03:55:01.000Z,0.0000038,0x6a1afc7af4278351bca6125e03cc9e1a3f41e80a,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x18104d7f2fe33f646d36f32fdb9e12876d1459d886428050925ad265c6bf236a
66,1000,0.0038,0xa0be78d2bac6a692adba423c7af50ec86a18bddf,2017-09-28T12:39:02.000Z,0.0000038,0x6a1afc7af4278351bca6125e03cc9e1a3f41e80a,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x987d83515e9680d038ab101b2e035649520abdde23876dcf8d0cd289d097ef7b
67,111,0.0005,0xc886b21b865e7c90432d9b8bdb14ad254f2232f5,2017-09-25T20:55:38.000Z,0.0000045045045045045,0x9e6c03145b92c74b907cbcfe3fdadddfef3cec1e,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x2955dc5f9fe5bca28dba078f660ca34ca38c58f03b0817b9c78c41f8a66b6f85
68,111,0.0005,0x23ee598e50ff1b1bde1022bf3c8a41d4c23321a0,2017-09-25T18:44:49.000Z,0.0000045045045045045,0x9e6c03145b92c74b907cbcfe3fdadddfef3cec1e,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x1cdd9f1db75fc1176507931e5df9fb5863544eb6d63bb4d6a13e6844bcd3b2af
69,111,0.0005,0xe5a759eb3e214ff0a2bbbea31acc41c9bf27b239,2017-09-25T16:57:30.000Z,0.0000045045045045045,0x9e6c03145b92c74b907cbcfe3fdadddfef3cec1e,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0xb0f54416fd5bec4a1244ca4b56700b9c8a66b2ce0a0d0e19ceb1f916c52e8fe0
70,111,0.0005,0xe37bd4d49c619e748d4efe74525489d26b6aff43,2017-09-25T16:46:55.000Z,0.0000045045045045045,0x9e6c03145b92c74b907cbcfe3fdadddfef3cec1e,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0xd641352754775d11cb454daba95893bbb36b75adbe727c29ca5f7bb49de6aa8a
71,111,0.0005,0x23ee598e50ff1b1bde1022bf3c8a41d4c23321a0,2017-09-25T16:14:11.000Z,0.0000045045045045045,0x9e6c03145b92c74b907cbcfe3fdadddfef3cec1e,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x5ca95d20883bdae53efd09e061fead6250bc5c41e642aac5af8ff62325ad71df
72,111,0.0005,0x160506e5a5ce5dadd43623689f53d5aa1f288f0f,2017-09-25T15:22:19.000Z,0.0000045045045045045,0x9e6c03145b92c74b907cbcfe3fdadddfef3cec1e,buy,0xfb12e3cca983b9f59d90912fd17f8d745a8b2953,0x96fef3bbe493d7c5a0fabdad4df239c221d7463fb2df404e15fd42d9ff23ceb3
