,amount,amountBase,buyer,date,price,seller,side,tokenAddr,txHash
0,10,0.00100001,0x0b2de009825eac9a347868b44349aa32e91ef81f,2017-10-31T15:53:22.000Z,0.000100001,0xe89a2a7a15cbaae3c58a03d79485373e216226d6,sell,0xeb9c0138d8ac10dd659640a4cc3d135c58b17b1b,0x23019b09cf41b4861ee840bff2eda5ae752f19c74dbf774f8f72b1cc87a6036b
1,3,0.00135,0x0b773d7819259d78757b26dc4148812d35676d8f,2017-10-31T14:27:42.000Z,0.00045,0x9d413c9f3650b2d7a264373bc89c457a05dedcae,buy,0xeb9c0138d8ac10dd659640a4cc3d135c58b17b1b,0xf7a9a5f22ba5ea954935543ad092d510a135da676c40d0ee9a9f3e0ccc6a5e01
2,100,0.1,0x9d413c9f3650b2d7a264373bc89c457a05dedcae,2017-10-27T12:29:09.000Z,0.001,0xe89a2a7a15cbaae3c58a03d79485373e216226d6,buy,0xeb9c0138d8ac10dd659640a4cc3d135c58b17b1b,0xceba65ba8ab56c76c2d0549c806ea7883ce03df34d6cc03ca20abcaa9bacd562
3,100,0.05,0x9d413c9f3650b2d7a264373bc89c457a05dedcae,2017-10-27T08:13:06.000Z,0.0005,0xe89a2a7a15cbaae3c58a03d79485373e216226d6,sell,0xeb9c0138d8ac10dd659640a4cc3d135c58b17b1b,0x16f5acedae4b1ad8936436460f5f2fb564cf23106d178577b0b4b583ae5d7064
4,8,0.01528,0x87ec77d3e9f63b770955f58b59f7dfe1061748b6,2017-10-26T17:10:26.000Z,0.00191,0x693b502b4274745ecfd87d80be89343a04ba73c5,buy,0xeb9c0138d8ac10dd659640a4cc3d135c58b17b1b,0xcf9b6bc27064bb1c7084c87567930350a908ce2676cbbbfc34172431d324bc3d
5,4500,4.95,0xe89a2a7a15cbaae3c58a03d79485373e216226d6,2017-10-25T10:14:31.000Z,0.0011,0xe89a2a7a15cbaae3c58a03d79485373e216226d6,buy,0xeb9c0138d8ac10dd659640a4cc3d135c58b17b1b,0x349bf5eb76c8fcc841cb634ed2e6974de1cd5f9a076d959afd8056ea9127bed2
6,1,0.001000001,0x0b2de009825eac9a347868b44349aa32e91ef81f,2017-10-25T10:05:59.000Z,0.001000001,0xe89a2a7a15cbaae3c58a03d79485373e216226d6,sell,0xeb9c0138d8ac10dd659640a4cc3d135c58b17b1b,0x7e4a62fc61a32a34c28e3c6bb4c34697b6a87611052ce244885adc52fb81f7d8
7,479.01,0.9053289,0x4599cadb14d62955d84a64c001949bbc168bef75,2017-10-24T15:38:27.000Z,0.00189,0x87ec77d3e9f63b770955f58b59f7dfe1061748b6,buy,0xeb9c0138d8ac10dd659640a4cc3d135c58b17b1b,0xea192f4c48a8cb89d14f58a5dc5945e1762d64ccbecaf41253946e259c1709db
8,5.53,0.0079632,0x693b502b4274745ecfd87d80be89343a04ba73c5,2017-10-24T06:57:09.000Z,0.00144,0xd2ea382e498316d91b9de8557670149b479721a0,sell,0xeb9c0138d8ac10dd659640a4cc3d135c58b17b1b,0x6ffd614d67abc79a0b0d3d5314cc06eb50192a7ed99739e1e4f9a4631a1bb11b
9,5.32,0.005852,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,2017-10-24T06:57:09.000Z,0.0011,0xe89a2a7a15cbaae3c58a03d79485373e216226d6,buy,0xeb9c0138d8ac10dd659640a4cc3d135c58b17b1b,0x41b7bfc5dfbae2bdb6dfe0513c812ab901096d88e8c3f5d71287ade9d3935c46
10,5.55,0.006105,0xd2ea382e498316d91b9de8557670149b479721a0,2017-10-24T06:57:09.000Z,0.0011,0xe89a2a7a15cbaae3c58a03d79485373e216226d6,buy,0xeb9c0138d8ac10dd659640a4cc3d135c58b17b1b,0x6ffd614d67abc79a0b0d3d5314cc06eb50192a7ed99739e1e4f9a4631a1bb11b
11,5.3,0.006837,0x6604b6339ecfa57387694eaec53593f2c6f48913,2017-10-24T06:57:09.000Z,0.00129,0x273a5d3e6721b9f5c1a6474f560c1334c63dda01,sell,0xeb9c0138d8ac10dd659640a4cc3d135c58b17b1b,0x41b7bfc5dfbae2bdb6dfe0513c812ab901096d88e8c3f5d71287ade9d3935c46
12,10,0.0161,0x87ec77d3e9f63b770955f58b59f7dfe1061748b6,2017-10-24T05:14:45.000Z,0.00161,0xe89a2a7a15cbaae3c58a03d79485373e216226d6,sell,0xeb9c0138d8ac10dd659640a4cc3d135c58b17b1b,0xbcc8a910530d2b9d52b9033e656336b1382f114366f651a6bce4cc1cc7083ce9
13,0.99,0.0018711,0x6604b6339ecfa57387694eaec53593f2c6f48913,2017-10-24T05:13:18.000Z,0.00189,0x87ec77d3e9f63b770955f58b59f7dfe1061748b6,buy,0xeb9c0138d8ac10dd659640a4cc3d135c58b17b1b,0x6ba374df653833b64be5f45056f0bbd9c1cc9dc19ef7ddc8f9e677292caab98d
14,2,0.00382,0x87ec77d3e9f63b770955f58b59f7dfe1061748b6,2017-10-24T05:09:33.000Z,0.00191,0x693b502b4274745ecfd87d80be89343a04ba73c5,buy,0xeb9c0138d8ac10dd659640a4cc3d135c58b17b1b,0x776f4d0a223ef7fd580b31ec904b211cd1f5dbcf4456ccfa48ae8b1870319644
15,200000,22,0xe89a2a7a15cbaae3c58a03d79485373e216226d6,2017-10-24T04:50:48.000Z,0.00011,0x693b502b4274745ecfd87d80be89343a04ba73c5,sell,0xeb9c0138d8ac10dd659640a4cc3d135c58b17b1b,0xbdd21c0a64eb840efb95bee039c19de862c9921944f9ea3d0dd3e352ee228a65
16,0.51,0.001,0x4a57d0208164a1c1c63c75395dc444428a07b50a,2017-10-23T04:57:09.000Z,0.00196078431372549,0x693b502b4274745ecfd87d80be89343a04ba73c5,buy,0xeb9c0138d8ac10dd659640a4cc3d135c58b17b1b,0x92454beb83924774aa457da8a85240fc74c2c4396d05ec42e527f5a001dbfa3a
17,0.99,0.0017424,0x87ec77d3e9f63b770955f58b59f7dfe1061748b6,2017-10-23T03:48:42.000Z,0.00176,0x7d053385a05276eedcaf706325ae34ae544741a6,sell,0xeb9c0138d8ac10dd659640a4cc3d135c58b17b1b,0x8db046b6b6b4ed94cc0e609fa93dff7854a8ca013146b0fc3bcc124326f3241c
18,0.5,0.001,0x4a57d0208164a1c1c63c75395dc444428a07b50a,2017-10-23T03:22:50.000Z,0.002,0x693b502b4274745ecfd87d80be89343a04ba73c5,buy,0xeb9c0138d8ac10dd659640a4cc3d135c58b17b1b,0x0959a509adeb94e32a6b87061d83c80581e90a2589b632fe3136eab097bd02b1
19,600,1.164,0x693b502b4274745ecfd87d80be89343a04ba73c5,2017-10-23T03:21:17.000Z,0.00194,0x87ec77d3e9f63b770955f58b59f7dfe1061748b6,buy,0xeb9c0138d8ac10dd659640a4cc3d135c58b17b1b,0x936ad19b8f9ebe1e62db0b56cb4e6ac6eed6774d098df31399fb77cf5a2690f7
20,0.48,0.001,0x4a57d0208164a1c1c63c75395dc444428a07b50a,2017-10-22T21:36:14.000Z,0.0020833333333333333,0x87ec77d3e9f63b770955f58b59f7dfe1061748b6,buy,0xeb9c0138d8ac10dd659640a4cc3d135c58b17b1b,0x3e6ab02746e3841aa7057633ad2146a2aed1a59307391a77fb76e4357d478a46
21,0,0,0x4a57d0208164a1c1c63c75395dc444428a07b50a,2017-10-22T20:29:47.000Z,NaN,0x693b502b4274745ecfd87d80be89343a04ba73c5,buy,0xeb9c0138d8ac10dd659640a4cc3d135c58b17b1b,0x8b99e2bf6412425c8b54691167d49fe21dd9810d21975b69ddc814ead1745561
